region_id,region_name,lat,lon,population,ecommerce_index,income_index
1,강남구,37.5172,127.0473,561052,1.38,1.45
2,강동구,37.5301,127.1238,463998,1.05,1.03
3,강북구,37.6396,127.0257,291384,0.82,0.78
4,강서구,37.5509,126.8495,574315,1.15,0.98
5,관악구,37.4784,126.9516,487815,1.12,0.85
6,광진구,37.5385,127.0823,337416,1.01,0.93
7,구로구,37.4955,126.8875,395315,1.0,0.9
8,금천구,37.4569,126.8955,229642,0.84,0.86
9,노원구,37.6542,127.0568,503734,0.96,0.88
10,도봉구,37.6688,127.0471,308627,0.8,0.8
11,동대문구,37.5744,127.0396,342837,0.96,0.85
12,동작구,37.5124,126.9393,380596,1.02,0.95
13,마포구,37.5663,126.9019,364638,1.24,1.08
14,서대문구,37.5791,126.9368,305946,0.98,0.93
15,서초구,37.4837,127.0324,408451,1.23,1.42
16,성동구,37.5633,127.0369,285543,1.09,1.02
17,성북구,37.5894,127.0167,430528,0.94,0.88
18,송파구,37.5145,127.1059,658338,1.32,1.22
19,양천구,37.517,126.8665,436028,1.0,1.0
20,영등포구,37.5264,126.8963,376837,1.18,1.04
21,용산구,37.5326,126.9905,218650,1.1,1.25
22,은평구,37.6027,126.9291,465982,0.94,0.86
23,종로구,37.5735,126.9788,141379,0.86,1.08
24,중구,37.5636,126.9976,120437,0.9,1.14
25,중랑구,37.6063,127.0925,384272,0.88,0.82
