month_key,postcode,region_id,inbound_volume
2025-01,S0101,1,9788
2025-01,S0102,1,19408
2025-01,S0103,1,16822
2025-01,S0104,1,16728
2025-01,S0201,2,22713
2025-01,S0202,2,3518
2025-01,S0203,2,5598
2025-01,S0204,2,7788
2025-01,S0301,3,6066
2025-01,S0302,3,4871
2025-01,S0303,3,6983
2025-01,S0304,3,1315
2025-01,S0401,4,14410
2025-01,S0402,4,15929
2025-01,S0403,4,19469
2025-01,S0404,4,3406
2025-01,S0501,5,9824
2025-01,S0502,5,6391
2025-01,S0503,5,10776
2025-01,S0504,5,17014
2025-01,S0601,6,18698
2025-01,S0602,6,897
2025-01,S0603,6,3620
2025-01,S0604,6,4433
2025-01,S0701,7,11835
2025-01,S0702,7,8787
2025-01,S0703,7,8371
2025-01,S0704,7,2694
2025-01,S0801,8,5553
2025-01,S0802,8,3385
2025-01,S0803,8,1209
2025-01,S0804,8,5199
2025-01,S0901,9,1708
2025-01,S0902,9,18278
2025-01,S0903,9,5155
2025-01,S0904,9,13744
2025-01,S1001,10,545
2025-01,S1002,10,11261
2025-01,S1003,10,4619
2025-01,S1004,10,3156
2025-01,S1101,11,7000
2025-01,S1102,11,6868
2025-01,S1103,11,5306
2025-01,S1104,11,7295
2025-01,S1201,12,944
2025-01,S1202,12,9483
2025-01,S1203,12,9704
2025-01,S1204,12,10924
2025-01,S1301,13,25407
2025-01,S1302,13,6411
2025-01,S1303,13,2694
2025-01,S1304,13,2101
2025-01,S1401,14,2138
2025-01,S1402,14,9426
2025-01,S1403,14,11907
2025-01,S1404,14,875
2025-01,S1501,15,5558
2025-01,S1502,15,17770
2025-01,S1503,15,6031
2025-01,S1504,15,11245
2025-01,S1601,16,7992
2025-01,S1602,16,2707
2025-01,S1603,16,8710
2025-01,S1604,16,5657
2025-01,S1701,17,6573
2025-01,S1702,17,10420
2025-01,S1703,17,12173
2025-01,S1704,17,3657
2025-01,S1801,18,10455
2025-01,S1802,18,17471
2025-01,S1803,18,30420
2025-01,S1804,18,12108
2025-01,S1901,19,6348
2025-01,S1902,19,14691
2025-01,S1903,19,6498
2025-01,S1904,19,7654
2025-01,S2001,20,11051
2025-01,S2002,20,3894
2025-01,S2003,20,16192
2025-01,S2004,20,4698
2025-01,S2101,21,983
2025-01,S2102,21,3680
2025-01,S2103,21,5737
2025-01,S2104,21,8954
2025-01,S2201,22,8412
2025-01,S2202,22,5105
2025-01,S2203,22,15858
2025-01,S2204,22,5882
2025-01,S2301,23,4638
2025-01,S2302,23,1485
2025-01,S2303,23,1000
2025-01,S2304,23,2709
2025-01,S2401,24,4355
2025-01,S2402,24,2816
2025-01,S2403,24,225
2025-01,S2404,24,1310
2025-01,S2501,25,14181
2025-01,S2502,25,5004
2025-01,S2503,25,5733
2025-01,S2504,25,2131
2025-02,S0101,1,10177
2025-02,S0102,1,14708
2025-02,S0103,1,20329
2025-02,S0104,1,16252
2025-02,S0201,2,6473
2025-02,S0202,2,4509
2025-02,S0203,2,3524
2025-02,S0204,2,23444
2025-02,S0301,3,1082
2025-02,S0302,3,7634
2025-02,S0303,3,8050
2025-02,S0304,3,1799
2025-02,S0401,4,30489
2025-02,S0402,4,7808
2025-02,S0403,4,8789
2025-02,S0404,4,4901
2025-02,S0501,5,19060
2025-02,S0502,5,5715
2025-02,S0503,5,10456
2025-02,S0504,5,7906
2025-02,S0601,6,6297
2025-02,S0602,6,6560
2025-02,S0603,6,7428
2025-02,S0604,6,6523
2025-02,S0701,7,14094
2025-02,S0702,7,3245
2025-02,S0703,7,10374
2025-02,S0704,7,3313
2025-02,S0801,8,2996
2025-02,S0802,8,2583
2025-02,S0803,8,2184
2025-02,S0804,8,7249
2025-02,S0901,9,7150
2025-02,S0902,9,6057
2025-02,S0903,9,12269
2025-02,S0904,9,12315
2025-02,S1001,10,1991
2025-02,S1002,10,11668
2025-02,S1003,10,2329
2025-02,S1004,10,3216
2025-02,S1101,11,5410
2025-02,S1102,11,6417
2025-02,S1103,11,6940
2025-02,S1104,11,7120
2025-02,S1201,12,3007
2025-02,S1202,12,16067
2025-02,S1203,12,2860
2025-02,S1204,12,8531
2025-02,S1301,13,6910
2025-02,S1302,13,2925
2025-02,S1303,13,21255
2025-02,S1304,13,4852
2025-02,S1401,14,6443
2025-02,S1402,14,5475
2025-02,S1403,14,6668
2025-02,S1404,14,4711
2025-02,S1501,15,17947
2025-02,S1502,15,16953
2025-02,S1503,15,3178
2025-02,S1504,15,1478
2025-02,S1601,16,1006
2025-02,S1602,16,5596
2025-02,S1603,16,15004
2025-02,S1604,16,2952
2025-02,S1701,17,5033
2025-02,S1702,17,7135
