task,model,feature,importance
peak_demand_risk,LogisticRegression,above_rolling_mean_flag,2.0573962426714165
peak_demand_risk,LogisticRegression,day_of_week,1.1450027492568822
peak_demand_risk,LogisticRegression,ewma_7,0.44253113124459686
peak_demand_risk,LogisticRegression,is_month_start,0.3654420009263544
peak_demand_risk,LogisticRegression,ewma_14,0.36266604291104926
peak_demand_risk,LogisticRegression,category_id,0.25341024613528906
peak_demand_risk,LogisticRegression,is_weekend,0.23879303471918012
peak_demand_risk,LogisticRegression,category_std_volume,0.11529085633651587
peak_demand_risk,LogisticRegression,region_std_volume,0.07517251465149835
peak_demand_risk,LogisticRegression,region_avg_volume,0.07392482604322062
peak_demand_risk,LogisticRegression,rolling_mean_7,0.07058494266588013
peak_demand_risk,LogisticRegression,rolling_mean_14,0.06641825219444457
peak_demand_risk,LogisticRegression,week_of_year,0.05705011535485555
peak_demand_risk,LogisticRegression,peak_ratio_30d,0.05382918492372736
peak_demand_risk,LogisticRegression,nearest_hub_distance_km,0.03910144685629691
peak_demand_risk,LogisticRegression,region_category_avg_volume,0.038174417511442106
peak_demand_risk,LogisticRegression,lag_1,0.03138842757939775
peak_demand_risk,LogisticRegression,od_lane_volume_rank,0.027689810336820716
peak_demand_risk,LogisticRegression,is_month_end,0.02754223084603212
peak_demand_risk,LogisticRegression,rolling_min_28,0.024856667242364197
peak_demand_risk,RandomForestClassifier,lag_7,0.15988669271865236
peak_demand_risk,RandomForestClassifier,lag_14,0.12427112844179689
peak_demand_risk,RandomForestClassifier,ewma_7,0.11759505638001852
peak_demand_risk,RandomForestClassifier,rolling_mean_7,0.10813485639844103
peak_demand_risk,RandomForestClassifier,ewma_14,0.0640174543568466
peak_demand_risk,RandomForestClassifier,rolling_mean_14,0.05457806629963089
peak_demand_risk,RandomForestClassifier,expanding_mean,0.049453720505892855
peak_demand_risk,RandomForestClassifier,lag_28,0.04716810905752933
peak_demand_risk,RandomForestClassifier,rolling_min_28,0.04514370756425415
peak_demand_risk,RandomForestClassifier,day_of_week,0.029796554175332935
peak_demand_risk,RandomForestClassifier,above_rolling_mean_flag,0.02720982896465875
peak_demand_risk,RandomForestClassifier,rolling_max_28,0.025191014782544662
peak_demand_risk,RandomForestClassifier,rolling_std_7,0.021737872485681722
peak_demand_risk,RandomForestClassifier,region_category_avg_volume,0.02068435703866162
peak_demand_risk,RandomForestClassifier,od_lane_volume_rank,0.020660506731217772
peak_demand_risk,RandomForestClassifier,lag_1,0.019553816656289153
peak_demand_risk,RandomForestClassifier,is_weekend,0.010417957914016732
peak_demand_risk,RandomForestClassifier,day,0.007762200292450526
peak_demand_risk,RandomForestClassifier,peak_ratio_30d,0.00679996087193659
peak_demand_risk,RandomForestClassifier,region_avg_volume,0.0067476990963928115
peak_demand_risk,GradientBoostingClassifier,lag_7,0.6939916132391887
peak_demand_risk,GradientBoostingClassifier,ewma_7,0.13129355899731518
peak_demand_risk,GradientBoostingClassifier,lag_14,0.0639209299305111
peak_demand_risk,GradientBoostingClassifier,above_rolling_mean_flag,0.045293764719460484
peak_demand_risk,GradientBoostingClassifier,day_of_week,0.01391998116495563
peak_demand_risk,GradientBoostingClassifier,lag_1,0.00943575815210146
peak_demand_risk,GradientBoostingClassifier,rolling_mean_7,0.007200015565031096
peak_demand_risk,GradientBoostingClassifier,rolling_std_7,0.007082187296288627
peak_demand_risk,GradientBoostingClassifier,lag_28,0.005718168942800875
peak_demand_risk,GradientBoostingClassifier,rolling_max_28,0.004338624211647804
peak_demand_risk,GradientBoostingClassifier,rolling_mean_14,0.003604991651332061
peak_demand_risk,GradientBoostingClassifier,region_category_avg_volume,0.0032247411233128254
peak_demand_risk,GradientBoostingClassifier,ewma_14,0.0028774370597496805
peak_demand_risk,GradientBoostingClassifier,day,0.0019851064729574184
peak_demand_risk,GradientBoostingClassifier,peak_ratio_30d,0.0012048195894493437
peak_demand_risk,GradientBoostingClassifier,rolling_min_28,0.0010347138179402657
peak_demand_risk,GradientBoostingClassifier,expanding_mean,0.000911788882057465
peak_demand_risk,GradientBoostingClassifier,week_of_year,0.0007508785900855464
peak_demand_risk,GradientBoostingClassifier,region_median_volume,0.0006088498337011953
peak_demand_risk,GradientBoostingClassifier,od_lane_volume_rank,0.00034617097866819084
peak_demand_risk,HistGradientBoostingClassifier,nearest_hub_distance_km,0.0
peak_demand_risk,HistGradientBoostingClassifier,od_lane_volume_rank,0.0
peak_demand_risk,HistGradientBoostingClassifier,top_category_share_by_region,0.0
peak_demand_risk,HistGradientBoostingClassifier,category_entropy_by_region,0.0
peak_demand_risk,HistGradientBoostingClassifier,above_rolling_mean_flag,0.0
