task,model,accuracy,precision,recall,f1,roc_auc,pr_auc,positive_rate
peak_demand_risk,LogisticRegression,0.9906666666666667,0.8986175115207373,0.9873417721518988,0.9408926417370326,0.9995030570076523,0.994563614368321,0.08266666666666667
peak_demand_risk,RandomForestClassifier,0.9914285714285714,0.9375,0.9493670886075949,0.9433962264150944,0.9989354573778827,0.988924803107017,0.0761904761904762
peak_demand_risk,GradientBoostingClassifier,0.9923809523809524,0.9448621553884712,0.9544303797468354,0.9496221662468514,0.9992371168963224,0.9916852476814007,0.076
peak_demand_risk,HistGradientBoostingClassifier,0.9931428571428571,0.9638242894056848,0.9443037974683545,0.9539641943734015,0.9993794730735637,0.9930936652352612,0.07371428571428572
stockout_risk,LogisticRegression,0.9348571428571428,0.7904290429042904,0.6902017291066282,0.7369230769230769,0.9649687652599858,0.84008842382216,0.11542857142857142
stockout_risk,RandomForestClassifier,0.8710476190476191,0.6307692307692307,0.059077809798270896,0.1080368906455863,0.8858377526674139,0.46883805620356506,0.012380952380952381
stockout_risk,GradientBoostingClassifier,0.8681904761904762,0.75,0.004322766570605188,0.008595988538681949,0.9253445119714194,0.5883418090986087,0.0007619047619047619
stockout_risk,HistGradientBoostingClassifier,0.8765714285714286,0.859375,0.0792507204610951,0.14511873350923482,0.9294267558629972,0.6211460391008274,0.01219047619047619
late_delivery_risk,LogisticRegression,0.9361904761904762,0.8188277087033747,0.6642651296829971,0.7334924423229913,0.9676826707284057,0.8512147749186199,0.10723809523809524
late_delivery_risk,RandomForestClassifier,0.8718095238095238,0.6721311475409836,0.059077809798270896,0.10860927152317881,0.878854055708911,0.4651337596914869,0.011619047619047619
late_delivery_risk,GradientBoostingClassifier,0.8678095238095238,0.0,0.0,0.0,0.924705964582917,0.5997082487886347,0.0
late_delivery_risk,HistGradientBoostingClassifier,0.8758095238095238,0.8620689655172413,0.07204610951008646,0.13297872340425532,0.9329724491628989,0.6520349266099179,0.011047619047619047
