task,model,tn,fp,fn,tp
peak_demand_risk,LogisticRegression,4855,0,0,395
peak_demand_risk,RandomForestClassifier,4855,0,0,395
peak_demand_risk,GradientBoostingClassifier,4855,0,0,395
peak_demand_risk,HistGradientBoostingClassifier,4853,2,2,393
stockout_risk,LogisticRegression,4485,71,0,694
stockout_risk,RandomForestClassifier,4556,0,0,694
stockout_risk,GradientBoostingClassifier,4556,0,0,694
stockout_risk,HistGradientBoostingClassifier,4552,4,1,693
late_delivery_risk,LogisticRegression,4554,2,154,540
late_delivery_risk,RandomForestClassifier,4556,0,0,694
late_delivery_risk,GradientBoostingClassifier,4556,0,0,694
late_delivery_risk,HistGradientBoostingClassifier,4554,2,6,688
