region_name,lat,lon
Region-1,37.55,126.98
Region-2,37.55,126.98
Region-3,37.55,126.98
Region-4,37.55,126.98
Region-5,37.55,126.98
Region-6,37.55,126.98
Region-7,37.55,126.98
Region-8,37.55,126.98
Region-9,37.55,126.98
Region-10,37.55,126.98
Region-11,37.55,126.98
Region-12,37.55,126.98
Region-13,37.55,126.98
Region-14,37.55,126.98
Region-15,37.55,126.98
Region-16,37.55,126.98
Region-17,37.55,126.98
Region-18,37.55,126.98
Region-19,37.55,126.98
Region-20,37.55,126.98
Region-21,37.55,126.98
Region-22,37.55,126.98
Region-23,37.55,126.98
Region-24,37.55,126.98
Region-25,37.55,126.98
