bitstring,selected_count,energy,selected_candidates,is_feasible_select_k,rank
0100100010,3,-6.8880795923128355,"강남구, 마포구, 노원구",True,1
1100100000,3,-6.837199469851204,"송파구, 강남구, 마포구",True,2
1000100010,3,-6.811878640531987,"송파구, 마포구, 노원구",True,3
0100100100,3,-6.780099867608356,"강남구, 마포구, 강동구",True,4
0100101000,3,-6.761125444282028,"강남구, 마포구, 영등포구",True,5
1000101000,3,-6.755548571054211,"송파구, 마포구, 영등포구",True,6
0100000110,3,-6.680883046209674,"강남구, 강동구, 노원구",True,7
1000100100,3,-6.659316887334369,"송파구, 마포구, 강동구",True,8
0000100110,3,-6.6036868806839495,"마포구, 강동구, 노원구",True,9
0100010100,3,-6.5554195151821295,"강남구, 관악구, 강동구",True,10
