model,feature,importance
LinearRegression,region_cv,162.88170736152733
LinearRegression,category_entropy_by_region,157.94515646866626
LinearRegression,region_category_cv,23.23629012717531
LinearRegression,peak_ratio_30d,19.305855609633014
LinearRegression,is_weekend,18.298600249289226
LinearRegression,demand_spike_score,15.957555258268235
LinearRegression,top_category_share_by_region,7.660913456445635
LinearRegression,ewma_7,5.507231583971985
LinearRegression,ewma_14,4.775279392992071
LinearRegression,day_of_week,4.186279925849487
LinearRegression,above_rolling_mean_flag,4.013947605248924
LinearRegression,is_month_start,3.8716769513261635
LinearRegression,od_lane_volume_rank,3.590098303508725
LinearRegression,category_id,1.8577615908639467
LinearRegression,category_std_volume,1.2438388537331724
LinearRegression,rolling_mean_7,1.0888066687644102
LinearRegression,region_std_volume,1.0259572916668278
LinearRegression,rolling_mean_28,0.6777406958304573
LinearRegression,month,0.6221376036078082
LinearRegression,category_avg_volume,0.605488586405267
Ridge,region_category_cv,23.53477869826659
Ridge,peak_ratio_30d,18.514726348051312
Ridge,is_weekend,18.27646523816321
Ridge,demand_spike_score,15.952693776466127
Ridge,region_cv,5.65783201020784
Ridge,ewma_7,5.50513542674162
Ridge,ewma_14,4.768947841771826
Ridge,day_of_week,4.198099592092577
Ridge,above_rolling_mean_flag,3.995890632435638
Ridge,is_month_start,3.9133712125350817
Ridge,category_id,1.8409973030715463
Ridge,category_std_volume,1.244982807046569
Ridge,rolling_mean_7,1.0895965286691203
Ridge,od_lane_volume_rank,0.9969437821691369
Ridge,rolling_mean_28,0.6795359967609839
Ridge,category_avg_volume,0.6015960403240654
Ridge,rolling_mean_14,0.5533934489149818
Ridge,is_month_end,0.5411037980423455
Ridge,lag_1,0.37570852997271065
Ridge,month,0.3406193434356969
Lasso,region_category_cv,51.94722714011459
Lasso,demand_spike_score,23.561982260876892
Lasso,peak_ratio_30d,20.943132860991454
Lasso,above_rolling_mean_flag,9.084613484278735
Lasso,month,4.512981380270071
Lasso,is_month_end,3.793537430459189
Lasso,day_of_week,3.1061731945962485
Lasso,ewma_7,2.6688081542631017
Lasso,od_lane_volume_rank,2.193260047742139
Lasso,is_weekend,2.0441437038258097
Lasso,ewma_14,1.9962106675345261
Lasso,week_of_year,0.86113161020204
Lasso,is_month_start,0.6565515461544205
Lasso,category_id,0.3255923436021532
Lasso,rolling_std_14,0.3208905946543318
Lasso,rolling_min_28,0.3181019201863779
Lasso,region_category_avg_volume,0.25183097998742676
Lasso,rolling_mean_7,0.2514946336687203
Lasso,lag_1,0.1730246704753813
Lasso,expanding_mean,0.12738456617133978
ElasticNet,demand_spike_score,23.388698100261337
ElasticNet,peak_ratio_30d,17.533238485182707
ElasticNet,region_category_cv,9.148442735106089
ElasticNet,above_rolling_mean_flag,8.998337201433115
ElasticNet,month,4.29667522644483
ElasticNet,is_month_end,3.7541153858323275
ElasticNet,day_of_week,3.145440322445617
ElasticNet,ewma_7,2.682369524447914
