series_id,region_name,product_category,function_type,lag,correlation
all,all,all,ACF,1,0.29446918795139865
all,all,all,PACF,1,-0.17358151115005574
all,all,all,ACF,2,-0.16518641270400394
all,all,all,PACF,2,-0.4800600240166633
all,all,all,ACF,3,0.048630172621166416
all,all,all,PACF,3,0.15308686441132396
all,all,all,ACF,4,0.038973970923861546
all,all,all,PACF,4,0.1550386815904642
all,all,all,ACF,5,-0.19519840057569554
all,all,all,PACF,5,-0.46283729820913805
all,all,all,ACF,6,0.2456305884940889
all,all,all,PACF,6,-0.15103178379659246
all,all,all,ACF,7,0.8974296553574922
all,all,all,PACF,7,0.9180227884048314
all,all,all,ACF,8,0.24649396794185913
all,all,all,PACF,8,-0.14637267814692217
all,all,all,ACF,9,-0.20199891590148408
all,all,all,PACF,9,-0.49030218290559774
all,all,all,ACF,10,0.03905464714186613
all,all,all,PACF,10,0.17604945149611423
all,all,all,ACF,11,0.025505555119175304
all,all,all,PACF,11,0.1618459691343513
all,all,all,ACF,12,-0.22446505235648287
all,all,all,PACF,12,-0.4800569723033407
all,all,all,ACF,13,0.2254167463000851
all,all,all,PACF,13,-0.1377945038924802
all,all,all,ACF,14,0.867377841110518
all,all,all,PACF,14,0.9077806502484433
all,all,all,ACF,15,0.22151091651395605
all,all,all,PACF,15,-0.14093269497831837
all,all,all,ACF,16,-0.22824189898936567
all,all,all,PACF,16,-0.4866541355068234
all,all,all,ACF,17,0.005717228078043166
all,all,all,PACF,17,0.1657157520442995
all,all,all,ACF,18,-0.002719622536808603
all,all,all,PACF,18,0.16675117883474025
all,all,all,ACF,19,-0.2527643928053471
all,all,all,PACF,19,-0.4824423797731308
all,all,all,ACF,20,0.20241894004040048
all,all,all,PACF,20,-0.1329218835274866
all,all,all,ACF,21,0.847435913731471
all,all,all,PACF,21,0.9142125163079684
all,all,all,ACF,22,0.19035896342948366
all,all,all,PACF,22,-0.15786831780240224
all,all,all,ACF,23,-0.2470114071472405
all,all,all,PACF,23,-0.47074671274974916
all,all,all,ACF,24,-0.022464455303868917
all,all,all,PACF,24,0.15829920002903827
all,all,all,ACF,25,-0.03159125696635416
all,all,all,PACF,25,0.16860485054570482
all,all,all,ACF,26,-0.2847730450104284
all,all,all,PACF,26,-0.4888521048856459
all,all,all,ACF,27,0.17921342290552345
all,all,all,PACF,27,-0.1522495454280144
all,all,all,ACF,28,0.8401031119269199
all,all,all,PACF,28,0.9275235716625713
