region_name,product_category,period_type,order_count,avg_order_to_release_hours,p95_order_to_release_hours,delayed_release_rate,business_action
강남구,도서/문구,normal,1037,3.2,7.1,0.08,피크 지역 인력 사전 배치
강남구,생활용품,normal,3325,3.2,7.1,0.08,피크 지역 인력 사전 배치
강남구,식품/신선,normal,2700,3.2,7.1,0.08,피크 지역 인력 사전 배치
강남구,전자/가전,normal,1297,3.2,7.1,0.08,피크 지역 인력 사전 배치
강남구,패션/잡화,normal,3135,3.2,7.1,0.08,피크 지역 인력 사전 배치
강동구,도서/문구,normal,597,3.2,7.1,0.08,피크 지역 인력 사전 배치
강동구,생활용품,normal,1990,3.2,7.1,0.08,피크 지역 인력 사전 배치
강동구,식품/신선,normal,1607,3.2,7.1,0.08,피크 지역 인력 사전 배치
강동구,전자/가전,normal,761,3.2,7.1,0.08,피크 지역 인력 사전 배치
강동구,패션/잡화,normal,1860,3.2,7.1,0.08,피크 지역 인력 사전 배치
강북구,도서/문구,normal,233,3.2,7.1,0.08,피크 지역 인력 사전 배치
강북구,생활용품,normal,902,3.2,7.1,0.08,피크 지역 인력 사전 배치
강북구,식품/신선,normal,724,3.2,7.1,0.08,피크 지역 인력 사전 배치
강북구,전자/가전,normal,302,3.2,7.1,0.08,피크 지역 인력 사전 배치
강북구,패션/잡화,normal,843,3.2,7.1,0.08,피크 지역 인력 사전 배치
강서구,도서/문구,normal,848,3.2,7.1,0.08,피크 지역 인력 사전 배치
강서구,생활용품,normal,2761,3.2,7.1,0.08,피크 지역 인력 사전 배치
강서구,식품/신선,normal,2245,3.2,7.1,0.08,피크 지역 인력 사전 배치
강서구,전자/가전,normal,1067,3.2,7.1,0.08,피크 지역 인력 사전 배치
강서구,패션/잡화,normal,2586,3.2,7.1,0.08,피크 지역 인력 사전 배치
관악구,도서/문구,normal,690,3.2,7.1,0.08,피크 지역 인력 사전 배치
관악구,생활용품,normal,2259,3.2,7.1,0.08,피크 지역 인력 사전 배치
관악구,식품/신선,normal,1841,3.2,7.1,0.08,피크 지역 인력 사전 배치
관악구,전자/가전,normal,855,3.2,7.1,0.08,피크 지역 인력 사전 배치
관악구,패션/잡화,normal,2119,3.2,7.1,0.08,피크 지역 인력 사전 배치
광진구,도서/문구,normal,386,3.2,7.1,0.08,피크 지역 인력 사전 배치
광진구,생활용품,normal,1351,3.2,7.1,0.08,피크 지역 인력 사전 배치
광진구,식품/신선,normal,1112,3.2,7.1,0.08,피크 지역 인력 사전 배치
광진구,전자/가전,normal,498,3.2,7.1,0.08,피크 지역 인력 사전 배치
광진구,패션/잡화,normal,1273,3.2,7.1,0.08,피크 지역 인력 사전 배치
구로구,도서/문구,normal,452,3.2,7.1,0.08,피크 지역 인력 사전 배치
구로구,생활용품,normal,1587,3.2,7.1,0.08,피크 지역 인력 사전 배치
구로구,식품/신선,normal,1294,3.2,7.1,0.08,피크 지역 인력 사전 배치
구로구,전자/가전,normal,591,3.2,7.1,0.08,피크 지역 인력 사전 배치
구로구,패션/잡화,normal,1486,3.2,7.1,0.08,피크 지역 인력 사전 배치
금천구,도서/문구,normal,212,3.2,7.1,0.08,피크 지역 인력 사전 배치
금천구,생활용품,normal,713,3.2,7.1,0.08,피크 지역 인력 사전 배치
금천구,식품/신선,normal,561,3.2,7.1,0.08,피크 지역 인력 사전 배치
금천구,전자/가전,normal,228,3.2,7.1,0.08,피크 지역 인력 사전 배치
금천구,패션/잡화,normal,659,3.2,7.1,0.08,피크 지역 인력 사전 배치
노원구,도서/문구,normal,586,3.2,7.1,0.08,피크 지역 인력 사전 배치
노원구,생활용품,normal,1957,3.2,7.1,0.08,피크 지역 인력 사전 배치
노원구,식품/신선,normal,1591,3.2,7.1,0.08,피크 지역 인력 사전 배치
노원구,전자/가전,normal,739,3.2,7.1,0.08,피크 지역 인력 사전 배치
노원구,패션/잡화,normal,1839,3.2,7.1,0.08,피크 지역 인력 사전 배치
도봉구,도서/문구,normal,238,3.2,7.1,0.08,피크 지역 인력 사전 배치
도봉구,생활용품,normal,933,3.2,7.1,0.08,피크 지역 인력 사전 배치
도봉구,식품/신선,normal,745,3.2,7.1,0.08,피크 지역 인력 사전 배치
도봉구,전자/가전,normal,317,3.2,7.1,0.08,피크 지역 인력 사전 배치
도봉구,패션/잡화,normal,874,3.2,7.1,0.08,피크 지역 인력 사전 배치
동대문구,도서/문구,normal,364,3.2,7.1,0.08,피크 지역 인력 사전 배치
동대문구,생활용품,normal,1297,3.2,7.1,0.08,피크 지역 인력 사전 배치
동대문구,식품/신선,normal,1054,3.2,7.1,0.08,피크 지역 인력 사전 배치
동대문구,전자/가전,normal,470,3.2,7.1,0.08,피크 지역 인력 사전 배치
동대문구,패션/잡화,normal,1220,3.2,7.1,0.08,피크 지역 인력 사전 배치
동작구,도서/문구,normal,448,3.2,7.1,0.08,피크 지역 인력 사전 배치
동작구,생활용품,normal,1560,3.2,7.1,0.08,피크 지역 인력 사전 배치
동작구,식품/신선,normal,1261,3.2,7.1,0.08,피크 지역 인력 사전 배치
동작구,전자/가전,normal,574,3.2,7.1,0.08,피크 지역 인력 사전 배치
동작구,패션/잡화,normal,1464,3.2,7.1,0.08,피크 지역 인력 사전 배치
마포구,도서/문구,normal,558,3.2,7.1,0.08,피크 지역 인력 사전 배치
마포구,생활용품,normal,1873,3.2,7.1,0.08,피크 지역 인력 사전 배치
마포구,식품/신선,normal,1517,3.2,7.1,0.08,피크 지역 인력 사전 배치
마포구,전자/가전,normal,705,3.2,7.1,0.08,피크 지역 인력 사전 배치
마포구,패션/잡화,normal,1768,3.2,7.1,0.08,피크 지역 인력 사전 배치
서대문구,도서/문구,normal,328,3.2,7.1,0.08,피크 지역 인력 사전 배치
서대문구,생활용품,normal,1178,3.2,7.1,0.08,피크 지역 인력 사전 배치
서대문구,식품/신선,normal,942,3.2,7.1,0.08,피크 지역 인력 사전 배치
서대문구,전자/가전,normal,413,3.2,7.1,0.08,피크 지역 인력 사전 배치
서대문구,패션/잡화,normal,1099,3.2,7.1,0.08,피크 지역 인력 사전 배치
서초구,도서/문구,normal,625,3.2,7.1,0.08,피크 지역 인력 사전 배치
서초구,생활용품,normal,2099,3.2,7.1,0.08,피크 지역 인력 사전 배치
서초구,식품/신선,normal,1700,3.2,7.1,0.08,피크 지역 인력 사전 배치
서초구,전자/가전,normal,791,3.2,7.1,0.08,피크 지역 인력 사전 배치
서초구,패션/잡화,normal,1962,3.2,7.1,0.08,피크 지역 인력 사전 배치
성동구,도서/문구,normal,348,3.2,7.1,0.08,피크 지역 인력 사전 배치
성동구,생활용품,normal,1237,3.2,7.1,0.08,피크 지역 인력 사전 배치
성동구,식품/신선,normal,1003,3.2,7.1,0.08,피크 지역 인력 사전 배치
성동구,전자/가전,normal,433,3.2,7.1,0.08,피크 지역 인력 사전 배치
성동구,패션/잡화,normal,1175,3.2,7.1,0.08,피크 지역 인력 사전 배치
성북구,도서/문구,normal,478,3.2,7.1,0.08,피크 지역 인력 사전 배치
성북구,생활용품,normal,1621,3.2,7.1,0.08,피크 지역 인력 사전 배치
성북구,식품/신선,normal,1304,3.2,7.1,0.08,피크 지역 인력 사전 배치
성북구,전자/가전,normal,583,3.2,7.1,0.08,피크 지역 인력 사전 배치
성북구,패션/잡화,normal,1515,3.2,7.1,0.08,피크 지역 인력 사전 배치
송파구,도서/문구,normal,1183,3.2,7.1,0.08,피크 지역 인력 사전 배치
송파구,생활용품,normal,3734,3.2,7.1,0.08,피크 지역 인력 사전 배치
송파구,식품/신선,normal,3052,3.2,7.1,0.08,피크 지역 인력 사전 배치
송파구,전자/가전,normal,1459,3.2,7.1,0.08,피크 지역 인력 사전 배치
송파구,패션/잡화,normal,3514,3.2,7.1,0.08,피크 지역 인력 사전 배치
양천구,도서/문구,normal,533,3.2,7.1,0.08,피크 지역 인력 사전 배치
양천구,생활용품,normal,1766,3.2,7.1,0.08,피크 지역 인력 사전 배치
양천구,식품/신선,normal,1439,3.2,7.1,0.08,피크 지역 인력 사전 배치
양천구,전자/가전,normal,658,3.2,7.1,0.08,피크 지역 인력 사전 배치
양천구,패션/잡화,normal,1646,3.2,7.1,0.08,피크 지역 인력 사전 배치
영등포구,도서/문구,normal,559,3.2,7.1,0.08,피크 지역 인력 사전 배치
영등포구,생활용품,normal,1827,3.2,7.1,0.08,피크 지역 인력 사전 배치
영등포구,식품/신선,normal,1478,3.2,7.1,0.08,피크 지역 인력 사전 배치
영등포구,전자/가전,normal,681,3.2,7.1,0.08,피크 지역 인력 사전 배치
영등포구,패션/잡화,normal,1732,3.2,7.1,0.08,피크 지역 인력 사전 배치
용산구,도서/문구,normal,241,3.2,7.1,0.08,피크 지역 인력 사전 배치
용산구,생활용품,normal,933,3.2,7.1,0.08,피크 지역 인력 사전 배치
용산구,식품/신선,normal,742,3.2,7.1,0.08,피크 지역 인력 사전 배치
용산구,전자/가전,normal,309,3.2,7.1,0.08,피크 지역 인력 사전 배치
용산구,패션/잡화,normal,880,3.2,7.1,0.08,피크 지역 인력 사전 배치
은평구,도서/문구,normal,511,3.2,7.1,0.08,피크 지역 인력 사전 배치
은평구,생활용품,normal,1750,3.2,7.1,0.08,피크 지역 인력 사전 배치
은평구,식품/신선,normal,1420,3.2,7.1,0.08,피크 지역 인력 사전 배치
은평구,전자/가전,normal,648,3.2,7.1,0.08,피크 지역 인력 사전 배치
은평구,패션/잡화,normal,1643,3.2,7.1,0.08,피크 지역 인력 사전 배치
종로구,도서/문구,normal,210,3.2,7.1,0.08,피크 지역 인력 사전 배치
종로구,생활용품,normal,409,3.2,7.1,0.08,피크 지역 인력 사전 배치
종로구,식품/신선,normal,316,3.2,7.1,0.08,피크 지역 인력 사전 배치
종로구,전자/가전,normal,210,3.2,7.1,0.08,피크 지역 인력 사전 배치
종로구,패션/잡화,normal,390,3.2,7.1,0.08,피크 지역 인력 사전 배치
중구,도서/문구,normal,210,3.2,7.1,0.08,피크 지역 인력 사전 배치
중구,생활용품,normal,353,3.2,7.1,0.08,피크 지역 인력 사전 배치
중구,식품/신선,normal,276,3.2,7.1,0.08,피크 지역 인력 사전 배치
중구,전자/가전,normal,210,3.2,7.1,0.08,피크 지역 인력 사전 배치
중구,패션/잡화,normal,323,3.2,7.1,0.08,피크 지역 인력 사전 배치
중랑구,도서/문구,normal,368,3.2,7.1,0.08,피크 지역 인력 사전 배치
중랑구,생활용품,normal,1310,3.2,7.1,0.08,피크 지역 인력 사전 배치
