warehouse_id,region_name,product_category,forecast_demand,available_inventory,safety_stock,stockout_gap,stockout_risk_score,reorder_priority,business_action
WH-01,강남구,생활용품,511,5092,1022,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,531,3690,1062,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,502,5385,1004,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,528,4898,1056,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,507,1951,1014,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,465,5478,930,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,475,4679,950,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,545,5491,1090,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,524,2176,1048,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,464,3273,928,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,482,3055,964,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,494,5602,988,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,478,4204,956,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,505,5254,1010,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,515,3600,1030,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,512,2583,1024,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,472,3772,944,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,484,1730,968,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,507,5297,1014,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,454,3943,908,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,518,5088,1036,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,515,3188,1030,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,548,6431,1096,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,517,5707,1034,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,498,4983,996,0,0.0,Low,리오더 우선순위 반영 발주
