region_name,product_category,shipment_count,avg_route_distance_km,avg_vehicle_utilization,on_time_delivery_rate,late_delivery_risk_score,risk_level,business_action
강남구,생활용품,4,22.78,0.5084736165446041,0.8192740780626989,0.41952209962778264,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강동구,식품,2,16.6,0.5016614288542458,0.9277327741534814,0.29337542768479413,Low,고위험 권역 임시 차량 배치 및 권역 재조정
강북구,디지털,4,23.03,0.7688950200672888,0.7966054618666663,0.5745950034468239,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강서구,패션,6,25.23,0.6257054256997691,0.8727894813728267,0.3808489179439512,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
관악구,헬스케어,2,4.54,0.5583167191029362,0.9133490045234717,0.23587387348001018,Low,고위험 권역 임시 차량 배치 및 권역 재조정
광진구,반려용품,2,26.6,0.7959425463529515,0.7752794787927053,0.6907937734459033,High,고위험 권역 임시 차량 배치 및 권역 재조정
구로구,생활용품,8,26.96,0.7934247828832334,0.75,0.7316119990782212,High,고위험 권역 임시 차량 배치 및 권역 재조정
금천구,식품,7,21.22,0.7195841461784989,0.7664451071031643,0.46382898623903784,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
노원구,디지털,2,6.86,0.9174789084329253,0.8310807340442347,0.39999072511059347,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
도봉구,패션,3,15.91,0.6427071157207106,0.8318848935263095,0.45508422281326083,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
동대문구,헬스케어,9,12.63,0.8679314856346465,0.8293343017623004,0.4391315362075976,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
동작구,반려용품,6,31.8,0.48756970396609817,0.7963413301220352,0.540480348849487,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
마포구,생활용품,6,18.05,0.8199155470192522,0.8299877967710824,0.5040868665209002,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
서대문구,식품,3,24.85,0.9442237069159649,0.7596927563045719,0.6512811290990803,High,고위험 권역 임시 차량 배치 및 권역 재조정
서초구,디지털,3,12.67,0.8732991081439083,0.8042420977343464,0.5478176023356401,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
성동구,패션,1,9.19,0.7398323596550296,0.7667744226464254,0.5555266357614841,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
성북구,헬스케어,7,19.78,0.7633830321635803,0.75,0.6214285330414269,High,고위험 권역 임시 차량 배치 및 권역 재조정
송파구,반려용품,1,5.1,0.6266447747184734,0.8850724059224016,0.3634567786802517,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
양천구,생활용품,1,21.65,0.7897426091290519,0.7846979789127435,0.5637715765434224,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
영등포구,식품,7,18.14,0.8351976915906635,0.8165377295595951,0.4314219622042348,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
용산구,디지털,8,22.83,0.9491142405589269,0.75,0.7260568026890944,High,고위험 권역 임시 차량 배치 및 권역 재조정
은평구,패션,7,10.86,0.6962314585002165,0.842021410144938,0.35713179263513367,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
종로구,헬스케어,5,32.67,0.48065203288672115,0.7996371756573397,0.47481041120498135,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
중구,반려용품,5,31.21,0.7479289753654925,0.75,0.7335986488837244,High,고위험 권역 임시 차량 배치 및 권역 재조정
중랑구,생활용품,4,24.45,0.5095120749910843,0.7947520072423321,0.4435416706093079,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강남구,식품,3,8.36,0.572382521778055,0.9173653573043751,0.1678130146929617,Low,고위험 권역 임시 차량 배치 및 권역 재조정
강동구,디지털,5,14.88,0.6143899556528686,0.8519769609085271,0.33189863338589964,Low,고위험 권역 임시 차량 배치 및 권역 재조정
강북구,패션,4,4.39,0.8155149365742053,0.895306282759311,0.3052482941415853,Low,고위험 권역 임시 차량 배치 및 권역 재조정
