vehicle_id,stops,vehicle_load,vehicle_capacity,vehicle_utilization,baseline_distance_km,optimized_distance_km,distance_saving_km,distance_saving_rate,business_action
1,1,2775,2800,1,10,8,2,0.2,경로 재편으로 이동거리 절감
1,1,2775,2800,1,10,8,2,0.2,경로 재편으로 이동거리 절감
1,1,2775,2800,1,10,8,2,0.2,경로 재편으로 이동거리 절감
1,1,2775,2800,1,10,8,2,0.2,경로 재편으로 이동거리 절감
2,1,2692,2800,1,10,8,2,0.2,경로 재편으로 이동거리 절감
2,1,2692,2800,1,10,8,2,0.2,경로 재편으로 이동거리 절감
2,1,2692,2800,1,10,8,2,0.2,경로 재편으로 이동거리 절감
2,1,2692,2800,1,10,8,2,0.2,경로 재편으로 이동거리 절감
2,1,2692,2800,1,10,8,2,0.2,경로 재편으로 이동거리 절감
2,1,2692,2800,1,10,8,2,0.2,경로 재편으로 이동거리 절감
3,1,781,2800,1,10,8,2,0.2,경로 재편으로 이동거리 절감
3,1,781,2800,1,10,8,2,0.2,경로 재편으로 이동거리 절감
