region_name,rank,locker_score,mfc_score,forecast_volume,peak_ratio,volatility,nearest_hub_distance_km,recommendation_reason,business_action
강남구,1,0.7772,0.73834,61825,1.2,0.16,5.18,예측 물동량 상위권; 최근 수요 증가율 높음; 이커머스 지수 높음,상위 후보지 설치 타당성 검토
송파구,2,0.7465,0.709175,68885,1.2,0.16,0.0,예측 물동량 상위권; 최근 수요 증가율 높음; 이커머스 지수 높음,상위 후보지 설치 타당성 검토
관악구,3,0.5737,0.5450149999999999,41851,1.2,0.16,10.31,최근 수요 증가율 높음; 기존 허브와 거리 gap 존재,상위 후보지 설치 타당성 검토
강서구,4,0.5586,0.53067,50920,1.2,0.16,0.0,최근 수요 증가율 높음,상위 후보지 설치 타당성 검토
서초구,5,0.5563,0.528485,39161,1.2,0.16,7.33,최근 수요 증가율 높음; 기존 허브와 거리 gap 존재; 이커머스 지수 높음,상위 후보지 설치 타당성 검토
영등포구,6,0.4713,0.447735,34522,1.2,0.16,4.46,최근 수요 증가율 높음,상위 후보지 설치 타당성 검토
마포구,7,0.4307,0.409165,35370,1.2,0.16,0.0,최근 수요 증가율 높음; 이커머스 지수 높음,상위 후보지 설치 타당성 검토
강동구,8,0.3891,0.369645,37005,1.2,0.16,2.35,균형형 후보,상위 후보지 설치 타당성 검토
동작구,9,0.3853,0.36603499999999994,29339,1.2,0.16,6.84,균형형 후보,상위 후보지 설치 타당성 검토
구로구,10,0.3791,0.360145,29382,1.2,0.16,7.01,균형형 후보,상위 후보지 설치 타당성 검토
양천구,11,0.3501,0.33259500000000003,32775,1.2,0.16,4.06,균형형 후보,상위 후보지 설치 타당성 검토
성동구,12,0.3442,0.32699,24044,1.2,0.16,3.46,균형형 후보,상위 후보지 설치 타당성 검토
노원구,13,0.3365,0.319675,36256,1.2,0.16,0.0,균형형 후보,상위 후보지 설치 타당성 검토
은평구,14,0.3205,0.304475,32426,1.2,0.16,4.7,균형형 후보,상위 후보지 설치 타당성 검토
성북구,15,0.3003,0.285285,29903,1.2,0.16,3.33,균형형 후보,상위 후보지 설치 타당성 검토
광진구,16,0.2822,0.26809,25715,1.2,0.16,3.38,균형형 후보,상위 후보지 설치 타당성 검토
용산구,17,0.2781,0.264195,18512,1.2,0.16,3.5,균형형 후보,상위 후보지 설치 타당성 검토
중랑구,18,0.2774,0.26353,24984,1.2,0.16,6.18,균형형 후보,상위 후보지 설치 타당성 검토
동대문구,19,0.2711,0.25754499999999997,24672,1.2,0.16,3.89,균형형 후보,상위 후보지 설치 타당성 검토
서대문구,20,0.2391,0.22714499999999999,22455,1.2,0.16,3.39,균형형 후보,상위 후보지 설치 타당성 검토
금천구,21,0.2378,0.22591,14193,1.2,0.16,11.21,기존 허브와 거리 gap 존재,상위 후보지 설치 타당성 검토
강북구,22,0.1123,0.10668499999999999,17573,1.2,0.16,3.18,균형형 후보,상위 후보지 설치 타당성 검토
도봉구,23,0.0787,0.074765,17908,1.2,0.16,1.83,균형형 후보,상위 후보지 설치 타당성 검토
종로구,24,0.0062,0.005889999999999999,9166,1.2,0.16,1.99,균형형 후보,상위 후보지 설치 타당성 검토
중구,25,-0.0317,-0.030114999999999996,8447,1.2,0.16,0.0,균형형 후보,상위 후보지 설치 타당성 검토
송파구,1,0.9082,0.86279,68885,1.2,0.16,0.0,예측 물동량 상위권; 최근 수요 증가율 높음; 이커머스 지수 높음,상위 후보지 설치 타당성 검토
강남구,2,0.8675,0.824125,61825,1.2,0.16,5.18,예측 물동량 상위권; 최근 수요 증가율 높음; 이커머스 지수 높음,상위 후보지 설치 타당성 검토
강서구,3,0.6725,0.638875,50920,1.2,0.16,0.0,최근 수요 증가율 높음,상위 후보지 설치 타당성 검토
서초구,4,0.5887,0.559265,39161,1.2,0.16,7.33,최근 수요 증가율 높음; 이커머스 지수 높음,상위 후보지 설치 타당성 검토
마포구,5,0.5858,0.55651,35370,1.2,0.16,0.0,최근 수요 증가율 높음; 이커머스 지수 높음; 피크 변동성 대응 필요,상위 후보지 설치 타당성 검토
관악구,6,0.5828,0.5536599999999999,41851,1.2,0.16,10.31,최근 수요 증가율 높음,상위 후보지 설치 타당성 검토
영등포구,7,0.5465,0.5191749999999999,34522,1.2,0.16,4.46,최근 수요 증가율 높음,상위 후보지 설치 타당성 검토
강동구,8,0.4692,0.44573999999999997,37005,1.2,0.16,2.35,균형형 후보,상위 후보지 설치 타당성 검토
노원구,9,0.4153,0.39453499999999997,36256,1.2,0.16,0.0,균형형 후보,상위 후보지 설치 타당성 검토
양천구,10,0.4046,0.38437,32775,1.2,0.16,4.06,균형형 후보,상위 후보지 설치 타당성 검토
은평구,11,0.4045,0.38427500000000003,32426,1.2,0.16,4.7,균형형 후보,상위 후보지 설치 타당성 검토
동작구,12,0.3905,0.370975,29339,1.2,0.16,6.84,균형형 후보,상위 후보지 설치 타당성 검토
성동구,13,0.3761,0.357295,24044,1.2,0.16,3.46,균형형 후보,상위 후보지 설치 타당성 검토
구로구,14,0.3545,0.336775,29382,1.2,0.16,7.01,균형형 후보,상위 후보지 설치 타당성 검토
용산구,15,0.3321,0.31549499999999997,18512,1.2,0.16,3.5,균형형 후보,상위 후보지 설치 타당성 검토
성북구,16,0.3271,0.310745,29903,1.2,0.16,3.33,균형형 후보,상위 후보지 설치 타당성 검토
광진구,17,0.327,0.31065,25715,1.2,0.16,3.38,균형형 후보,상위 후보지 설치 타당성 검토
동대문구,18,0.3218,0.30571,24672,1.2,0.16,3.89,균형형 후보,상위 후보지 설치 타당성 검토
서대문구,19,0.3147,0.298965,22455,1.2,0.16,3.39,균형형 후보,상위 후보지 설치 타당성 검토
중랑구,20,0.2415,0.229425,24984,1.2,0.16,6.18,균형형 후보,상위 후보지 설치 타당성 검토
도봉구,21,0.1809,0.171855,17908,1.2,0.16,1.83,균형형 후보,상위 후보지 설치 타당성 검토
강북구,22,0.1668,0.15846,17573,1.2,0.16,3.18,균형형 후보,상위 후보지 설치 타당성 검토
금천구,23,0.137,0.13015000000000002,14193,1.2,0.16,11.21,균형형 후보,상위 후보지 설치 타당성 검토
중구,24,0.1339,0.12720499999999998,8447,1.2,0.16,0.0,피크 변동성 대응 필요,상위 후보지 설치 타당성 검토
종로구,25,0.1152,0.10944,9166,1.2,0.16,1.99,피크 변동성 대응 필요,상위 후보지 설치 타당성 검토
