dest_region_id,region_name,q10,q50,q75,q90,newsvendor_capacity,vehicles_unconstrained,vehicles_milp,capacity_milp,expected_shortage_q90,cut_by_constraint
18,송파구,2220.7,2500.4,2602.3,2685.4,2602.3,12,12,2640,45.4,0
1,강남구,2015.8,2253.5,2355.3,2431.9,2355.3,11,11,2420,11.9,0
4,강서구,1673.9,1860.9,1955.8,2018.2,1955.8,9,9,1980,38.2,0
5,관악구,1363.4,1519.3,1599.5,1636.4,1599.5,8,7,1540,96.4,1
15,서초구,1269.4,1406.0,1483.0,1516.9,1483.0,7,7,1540,0.0,0
2,강동구,1225.9,1365.9,1439.1,1481.1,1439.1,7,6,1320,161.1,1
9,노원구,1185.5,1322.5,1391.9,1434.4,1391.9,7,6,1320,114.4,1
13,마포구,1158.0,1292.9,1353.4,1394.4,1353.4,7,6,1320,74.4,1
20,영등포구,1123.0,1258.5,1316.7,1365.8,1316.7,6,6,1320,45.8,0
19,양천구,1078.5,1198.4,1260.8,1306.1,1260.8,6,6,1320,0.0,0
22,은평구,1065.5,1193.2,1249.4,1292.6,1249.4,6,6,1320,0.0,0
17,성북구,980.0,1096.1,1146.1,1194.2,1146.1,6,5,1100,94.2,1
7,구로구,959.0,1074.8,1123.3,1174.1,1123.3,6,5,1100,74.1,1
12,동작구,960.8,1074.6,1123.1,1173.5,1123.1,6,5,1100,73.5,1
6,광진구,843.9,951.3,996.7,1044.6,996.7,5,5,1100,0.0,0
25,중랑구,814.9,924.4,964.5,1020.1,964.5,5,4,880,140.1,1
11,동대문구,792.8,900.9,941.7,995.5,941.7,5,4,880,115.5,1
16,성동구,766.4,872.0,913.3,968.9,913.3,5,4,880,88.9,1
14,서대문구,729.3,834.5,878.3,934.0,878.3,4,4,880,54.0,0
21,용산구,582.2,673.8,711.3,768.6,711.3,4,3,660,108.6,1
10,도봉구,572.9,663.6,703.6,760.0,703.6,4,3,660,100.0,1
3,강북구,540.1,624.5,667.3,719.8,667.3,4,3,660,59.8,1
8,금천구,436.4,511.8,551.2,595.2,551.2,3,3,660,0.0,0
23,종로구,272.2,336.0,364.1,420.6,364.1,2,2,440,0.0,0
24,중구,253.2,308.5,336.1,399.9,336.1,2,2,440,0.0,0
