shipment_id,pickup_ts,delivered_ts,actual_distance_km,actual_cost
S000000001,2025-01-01 07:30:00,2025-01-02 09:29:55.759546204,22.78,7103.0
S000000002,2025-01-01 09:30:00,2025-01-02 01:51:48.770626766,16.6,5401.0
S000000003,2025-01-02 01:01:00,2025-01-02 08:55:10.088716543,23.03,6234.0
S000000004,2025-01-02 00:58:00,2025-01-02 07:08:25.292413444,25.23,6021.0
S000000005,2025-01-02 00:38:00,2025-01-02 04:41:21.875000418,4.54,3979.0
S000000006,2025-01-01 15:53:00,2025-01-02 07:44:08.271980870,26.6,5889.0
S000000007,2025-01-02 02:14:00,2025-01-02 15:09:05.482241806,26.96,6924.0
S000000008,2025-01-01 22:01:00,2025-01-02 02:42:16.995522966,21.22,6707.0
S000000009,2025-01-01 22:04:00,2025-01-02 23:10:09.391155206,6.86,3958.0
S000000010,2025-01-01 13:10:00,2025-01-02 04:31:19.931586724,15.91,5452.0
S000000011,2025-01-02 04:56:00,2025-01-03 02:22:23.222189626,12.63,5159.0
S000000012,2025-01-02 04:02:00,2025-01-03 11:40:59.484758866,31.8,5966.0
S000000013,2025-01-01 15:11:00,2025-01-02 06:49:08.572464592,18.05,7041.0
S000000014,2025-01-01 20:46:00,2025-01-02 07:41:28.094490480,24.85,7162.0
S000000015,2025-01-01 22:21:00,2025-01-02 11:14:57.076998140,12.67,4635.0
S000000016,2025-01-01 18:31:00,2025-01-01 23:47:12.880055064,9.19,4595.0
S000000017,2025-01-01 12:08:00,2025-01-01 23:20:28.724266908,19.78,4871.0
S000000018,2025-01-01 20:29:00,2025-01-03 05:21:19.021344182,5.1,3466.0
S000000019,2025-01-01 19:02:00,2025-01-02 03:03:34.870858345,21.65,5637.0
S000000020,2025-01-01 17:40:00,2025-01-02 08:14:30.407005120,18.14,5488.0
S000000021,2025-01-01 16:50:00,2025-01-02 00:56:46.503361609,22.83,5981.0
S000000022,2025-01-01 08:15:00,2025-01-01 14:07:54.784604362,10.86,4258.0
S000000023,2025-01-01 06:40:00,2025-01-01 22:47:18.846269252,32.67,6973.0
S000000024,2025-01-01 14:51:00,2025-01-02 21:10:22.834306862,31.21,7685.0
S000000025,2025-01-02 08:10:00,2025-01-02 13:23:13.042071393,24.45,6489.0
S000000026,2025-01-02 01:08:00,2025-01-03 03:04:42.688841456,8.36,3658.0
S000000027,2025-01-01 08:18:00,2025-01-01 13:53:37.111741360,14.88,5382.0
S000000028,2025-01-01 15:48:00,2025-01-02 19:01:39.673208906,4.39,3882.0
S000000029,2025-01-01 10:47:00,2025-01-02 21:40:33.743790805,6.52,3631.0
S000000030,2025-01-01 21:37:00,2025-01-02 10:27:25.851429891,20.96,6129.0
S000000031,2025-01-02 01:40:00,2025-01-02 20:18:35.025772434,20.53,7473.0
S000000032,2025-01-01 07:37:00,2025-01-02 05:08:50.276754534,27.2,7506.0
S000000033,2025-01-01 17:37:00,2025-01-02 04:53:52.118560264,13.43,4827.0
S000000034,2025-01-01 16:17:00,2025-01-01 21:45:34.823087961,12.46,4470.0
S000000035,2025-01-01 16:23:00,2025-01-01 22:33:27.316452950,16.42,5042.0
S000000036,2025-01-01 11:13:00,2025-01-02 03:03:35.553490195,8.44,3728.0
S000000037,2025-01-01 06:14:00,2025-01-01 16:50:25.922971314,6.08,3541.0
S000000038,2025-01-01 21:43:00,2025-01-02 18:08:54.601887975,16.6,4568.0
S000000039,2025-01-01 15:47:00,2025-01-01 21:50:26.866881406,9.79,4204.0
S000000040,2025-01-01 18:51:00,2025-01-02 20:50:08.361634592,20.54,5766.0
S000000041,2025-01-01 07:55:00,2025-01-01 16:48:46.632114718,12.48,4592.0
S000000042,2025-01-01 23:57:00,2025-01-02 05:01:35.370694527,26.02,6177.0
S000000043,2025-01-01 09:37:00,2025-01-01 21:40:43.240568241,25.26,6774.0
S000000044,2025-01-01 09:28:00,2025-01-02 11:23:58.004867049,12.94,4721.0
S000000045,2025-01-02 03:56:00,2025-01-02 11:35:56.209076013,26.48,6837.0
S000000046,2025-01-01 11:24:00,2025-01-02 16:10:30.683735630,22.21,6270.0
S000000047,2025-01-01 17:56:00,2025-01-02 17:58:34.611600894,13.41,4731.0
S000000048,2025-01-01 22:48:00,2025-01-02 12:38:45.511651852,10.17,4987.0
S000000049,2025-01-01 18:49:00,2025-01-02 01:42:35.252132859,18.05,5502.0
S000000050,2025-01-01 19:32:00,2025-01-03 04:38:27.575912577,5.83,4328.0
S000000051,2025-01-01 16:50:00,2025-01-02 04:17:21.573620510,8.25,4257.0
S000000052,2025-01-01 11:45:00,2025-01-02 11:59:25.917135849,3.22,3634.0
S000000053,2025-01-01 06:26:00,2025-01-02 08:32:58.205562861,20.84,7102.0
S000000054,2025-01-02 05:14:00,2025-01-03 02:15:09.844824270,18.89,6673.0
S000000055,2025-01-02 03:11:00,2025-01-03 01:52:38.563747940,23.82,6863.0
S000000056,2025-01-01 16:02:00,2025-01-02 05:30:46.256413281,26.64,6774.0
S000000057,2025-01-02 03:34:00,2025-01-03 02:21:56.493243736,12.87,5757.0
S000000058,2025-01-01 19:03:00,2025-01-03 01:24:35.640054741,15.8,4696.0
S000000059,2025-01-01 08:38:00,2025-01-02 13:29:21.021486242,6.89,4373.0
S000000060,2025-01-02 08:02:00,2025-01-02 19:10:17.812803066,5.31,4503.0
S000000061,2025-01-02 05:21:00,2025-01-03 10:23:52.145399097,17.97,5900.0
S000000062,2025-01-01 16:26:00,2025-01-02 18:11:29.087516984,16.87,4572.0
S000000063,2025-01-01 13:57:00,2025-01-02 07:54:36.105761962,21.12,5595.0
S000000064,2025-01-01 14:48:00,2025-01-02 10:21:33.611347645,22.0,6963.0
S000000065,2025-01-01 03:36:00,2025-01-02 00:07:21.165909520,19.58,5690.0
S000000066,2025-01-01 20:46:00,2025-01-03 01:41:29.833227660,17.83,5983.0
S000000067,2025-01-01 06:09:00,2025-01-02 05:43:49.330281687,17.79,6159.0
S000000068,2025-01-01 15:12:00,2025-01-02 22:19:30.021636597,10.59,4063.0
S000000069,2025-01-01 23:25:00,2025-01-03 05:40:22.755813879,4.05,3980.0
S000000070,2025-01-01 06:38:00,2025-01-02 15:52:37.796839252,13.41,5797.0
S000000071,2025-01-02 05:46:00,2025-01-03 13:45:45.569059591,9.92,4997.0
S000000072,2025-01-02 02:38:00,2025-01-02 07:18:07.426329229,15.3,5966.0
S000000073,2025-01-01 22:54:00,2025-01-02 14:30:36.086111366,28.66,6541.0
S000000074,2025-01-01 05:19:00,2025-01-01 21:16:23.489112391,10.57,4956.0
S000000075,2025-01-01 19:08:00,2025-01-02 21:06:51.866838069,4.78,4536.0
S000000076,2025-01-02 06:40:00,2025-01-03 04:48:11.236927498,10.74,4532.0
S000000077,2025-01-01 21:49:00,2025-01-03 09:30:46.058333744,10.44,4859.0
S000000078,2025-01-01 04:03:00,2025-01-02 03:50:14.669294719,20.46,6706.0
S000000079,2025-01-02 06:06:00,2025-01-03 04:14:41.339780314,17.47,5314.0
S000000080,2025-01-02 03:12:00,2025-01-03 10:24:25.156186470,20.85,6293.0
S000000081,2025-01-01 05:56:00,2025-01-02 11:12:50.743371230,21.03,6620.0
S000000082,2025-01-02 01:43:00,2025-01-02 10:51:02.990283968,15.7,4616.0
S000000083,2025-01-01 17:25:00,2025-01-02 12:54:11.616935733,28.84,5622.0
S000000084,2025-01-01 14:15:00,2025-01-03 01:59:09.967326342,7.08,4379.0
S000000085,2025-01-01 21:36:00,2025-01-03 00:15:08.135221291,3.49,3592.0
S000000086,2025-01-01 13:55:00,2025-01-01 18:40:08.237464426,4.71,3885.0
S000000087,2025-01-01 23:17:00,2025-01-02 05:15:08.227704964,24.71,6276.0
S000000088,2025-01-01 17:51:00,2025-01-02 21:15:24.653416017,14.94,5036.0
S000000089,2025-01-01 14:17:00,2025-01-02 19:01:46.069917687,7.42,4786.0
S000000090,2025-01-01 10:15:00,2025-01-02 16:28:22.638365925,18.19,5411.0
S000000091,2025-01-01 07:54:00,2025-01-01 21:15:53.575743430,6.28,4747.0
S000000092,2025-01-01 19:51:00,2025-01-03 01:38:39.174025444,22.05,7130.0
S000000093,2025-01-02 06:13:00,2025-01-03 17:57:55.003575429,17.11,5025.0
S000000094,2025-01-01 15:11:00,2025-01-02 13:37:10.124018822,12.15,4746.0
S000000095,2025-01-01 10:49:00,2025-01-02 09:57:01.284094215,11.46,4542.0
S000000096,2025-01-01 08:45:00,2025-01-01 20:33:52.881375844,20.24,6362.0
S000000097,2025-01-01 23:32:00,2025-01-02 10:26:11.145489994,13.99,4732.0
S000000098,2025-01-01 18:05:00,2025-01-01 22:20:06.920477330,5.72,3853.0
S000000099,2025-01-02 03:19:00,2025-01-02 14:11:54.722116574,5.56,4289.0
S000000100,2025-01-01 19:29:00,2025-01-02 04:20:27.231855220,24.42,7105.0
