sku_id,on_hand,daily_demand,warehouse_utilization
SKU-01-0001,5092,511,0.7164
SKU-01-0002,3690,531,0.7928
SKU-01-0003,5385,502,0.5509
SKU-01-0004,4898,528,0.9275
SKU-01-0005,1951,507,0.6567
SKU-01-0006,5478,465,0.5736
SKU-01-0007,4679,475,0.7241
SKU-01-0008,5491,545,0.599
SKU-01-0009,2176,524,0.6079
SKU-01-0010,3273,464,0.7903
SKU-01-0011,3055,482,0.6993
SKU-01-0012,5602,494,0.9003
SKU-01-0013,4204,478,0.6713
SKU-01-0014,5254,505,0.8259
SKU-01-0015,3600,515,0.7252
SKU-01-0016,2583,512,0.8008
SKU-01-0017,3772,472,0.7779
SKU-01-0018,1730,484,0.7297
SKU-01-0019,5297,507,0.911
SKU-01-0020,3943,454,0.6802
SKU-01-0021,5088,518,0.6173
SKU-01-0022,3188,515,0.8077
SKU-01-0023,6431,548,0.8715
SKU-01-0024,5707,517,0.5653
SKU-01-0025,4983,498,0.7209
SKU-01-0026,2699,568,0.8891
SKU-01-0027,3694,513,0.8349
SKU-01-0028,1938,571,0.9269
SKU-01-0029,2207,503,0.7519
SKU-01-0030,4894,535,0.8008
SKU-01-0031,4648,479,0.6649
SKU-01-0032,5866,501,0.9101
SKU-01-0033,2954,498,0.6892
SKU-01-0034,3370,532,0.8306
SKU-01-0035,3656,506,0.7032
SKU-01-0036,2207,469,0.7635
SKU-01-0037,2135,512,0.8235
SKU-01-0038,3619,497,0.7434
SKU-01-0039,2531,502,0.8947
SKU-01-0040,5209,577,0.7093
SKU-01-0041,3647,526,0.7959
SKU-01-0042,5478,522,0.6801
SKU-01-0043,4679,503,0.7051
SKU-01-0044,3068,528,0.7172
SKU-01-0045,5581,532,0.5978
SKU-01-0046,5152,503,0.5849
SKU-01-0047,3244,500,0.8036
SKU-01-0048,3044,544,0.7991
SKU-01-0049,5001,547,0.8019
SKU-01-0050,2167,509,0.5575
SKU-01-0051,2664,555,0.6741
SKU-01-0052,1591,519,0.6252
SKU-01-0053,5273,523,0.8457
SKU-01-0054,4654,518,0.877
SKU-01-0055,4785,512,0.6437
SKU-01-0056,5224,521,0.8038
SKU-01-0057,3601,505,0.5992
SKU-01-0058,4100,505,0.6546
SKU-01-0059,2316,544,0.6027
SKU-01-0060,2088,518,0.6577
SKU-01-0061,4318,479,0.8064
SKU-01-0062,3873,535,0.8959
SKU-01-0063,4100,507,0.627
SKU-01-0064,4854,491,0.756
SKU-01-0065,4130,474,0.8165
SKU-01-0066,3712,465,0.9121
SKU-01-0067,4041,503,0.7818
SKU-01-0068,3051,532,0.6469
SKU-01-0069,1714,523,0.7877
SKU-01-0070,3694,533,0.6718
SKU-01-0071,2545,516,0.9209
SKU-01-0072,3625,543,0.7019
SKU-01-0073,5319,498,0.8105
SKU-01-0074,2400,470,0.5588
SKU-01-0075,1741,494,0.702
SKU-01-0076,2893,523,0.8825
SKU-01-0077,2945,522,0.7819
SKU-01-0078,4586,512,0.7187
SKU-01-0079,4127,515,0.9057
SKU-01-0080,5249,522,0.8745
SKU-01-0081,4229,471,0.6724
SKU-01-0082,3702,556,0.7569
SKU-01-0083,4988,483,0.7361
SKU-01-0084,2499,555,0.7902
SKU-01-0085,1666,520,0.677
SKU-01-0086,1940,509,0.6428
SKU-01-0087,4475,471,0.8968
SKU-01-0088,3793,530,0.9011
SKU-01-0089,2791,627,0.8705
SKU-01-0090,4213,561,0.9217
SKU-01-0091,2268,519,0.8331
SKU-01-0092,4522,488,0.8406
SKU-01-0093,3851,549,0.8398
SKU-01-0094,2945,458,0.7326
SKU-01-0095,3268,572,0.7235
SKU-01-0096,4527,522,0.6413
SKU-01-0097,2803,448,0.795
SKU-01-0098,2023,534,0.6599
SKU-01-0099,2169,534,0.648
SKU-01-0100,6516,559,0.7727
SKU-01-0101,5522,494,0.7058
SKU-01-0102,5281,568,0.6332
SKU-01-0103,2874,533,0.8601
SKU-01-0104,6365,543,0.877
SKU-01-0105,4624,462,0.6137
SKU-01-0106,4849,513,0.5529
SKU-01-0107,3452,490,0.6777
SKU-01-0108,2665,489,0.8531
SKU-01-0109,2139,553,0.8689
SKU-01-0110,5706,513,0.6026
SKU-01-0111,3878,546,0.8442
SKU-01-0112,2690,558,0.594
SKU-01-0113,3124,543,0.6982
SKU-01-0114,4353,530,0.9295
SKU-01-0115,2052,447,0.6232
SKU-01-0116,6169,576,0.6085
SKU-01-0117,4795,488,0.7107
SKU-01-0118,4842,511,0.7855
SKU-01-0119,3458,502,0.9045
SKU-01-0120,4755,550,0.9227
SKU-01-0121,4541,550,0.5765
SKU-01-0122,4610,521,0.6024
SKU-01-0123,1891,503,0.8505
SKU-01-0124,3176,471,0.6528
SKU-01-0125,1741,516,0.8862
SKU-01-0126,3567,479,0.8021
SKU-01-0127,3217,539,0.5925
SKU-01-0128,2215,515,0.8664
SKU-01-0129,1926,490,0.617
SKU-01-0130,4426,534,0.7109
SKU-01-0131,2322,512,0.7598
SKU-01-0132,6059,535,0.7403
SKU-01-0133,4559,554,0.8107
SKU-01-0134,3263,533,0.798
SKU-01-0135,4267,513,0.927
SKU-01-0136,1638,511,0.9298
SKU-01-0137,5488,472,0.7463
SKU-01-0138,3935,536,0.5862
SKU-01-0139,5223,520,0.8266
SKU-01-0140,1936,517,0.9211
SKU-01-0141,3815,517,0.671
SKU-01-0142,3819,515,0.7253
SKU-01-0143,5171,452,0.7114
SKU-01-0144,4382,538,0.5695
SKU-01-0145,3289,453,0.8055
SKU-01-0146,2788,516,0.6843
SKU-01-0147,3190,533,0.8492
SKU-01-0148,3928,511,0.8662
SKU-01-0149,3440,495,0.8621
SKU-01-0150,1594,499,0.7083
SKU-01-0151,4248,407,0.6722
SKU-01-0152,5322,481,0.8346
SKU-01-0153,2425,569,0.8545
SKU-01-0154,4560,571,0.7367
SKU-01-0155,2068,520,0.8894
SKU-01-0156,5068,560,0.6047
SKU-01-0157,2915,527,0.884
SKU-01-0158,4905,549,0.5865
SKU-01-0159,4676,490,0.6083
SKU-01-0160,5683,573,0.7529
SKU-01-0161,1830,461,0.5757
SKU-01-0162,6375,567,0.5701
SKU-01-0163,2490,491,0.5502
SKU-01-0164,1845,553,0.7158
SKU-01-0165,4053,507,0.8444
SKU-01-0166,3271,516,0.5632
SKU-01-0167,5140,491,0.7979
SKU-01-0168,4973,484,0.8628
SKU-01-0169,2869,490,0.6138
SKU-01-0170,6077,525,0.6058
