order_id,event_type,event_ts
O000000001,ORDER_RECEIVED,2025-01-01 02:08:00
O000000001,RELEASED_TO_WMS,2025-01-01 06:51:00
O000000002,ORDER_RECEIVED,2025-01-01 02:03:00
O000000002,RELEASED_TO_WMS,2025-01-01 06:20:00
O000000003,ORDER_RECEIVED,2025-01-01 17:39:00
O000000003,RELEASED_TO_WMS,2025-01-01 22:17:00
O000000004,ORDER_RECEIVED,2025-01-01 20:09:00
O000000004,RELEASED_TO_WMS,2025-01-01 23:02:00
O000000005,ORDER_RECEIVED,2025-01-01 18:45:00
O000000005,RELEASED_TO_WMS,2025-01-01 22:43:00
O000000006,ORDER_RECEIVED,2025-01-01 10:48:00
O000000006,RELEASED_TO_WMS,2025-01-01 12:25:00
O000000007,ORDER_RECEIVED,2025-01-01 20:35:00
O000000007,RELEASED_TO_WMS,2025-01-02 01:36:00
O000000008,ORDER_RECEIVED,2025-01-01 16:48:00
O000000008,RELEASED_TO_WMS,2025-01-01 19:08:00
O000000009,ORDER_RECEIVED,2025-01-01 16:16:00
O000000009,RELEASED_TO_WMS,2025-01-01 21:00:00
O000000010,ORDER_RECEIVED,2025-01-01 11:56:00
O000000010,RELEASED_TO_WMS,2025-01-01 12:30:00
O000000011,ORDER_RECEIVED,2025-01-01 22:08:00
O000000011,RELEASED_TO_WMS,2025-01-02 02:41:00
O000000012,ORDER_RECEIVED,2025-01-01 21:43:00
O000000012,RELEASED_TO_WMS,2025-01-02 00:08:00
O000000013,ORDER_RECEIVED,2025-01-01 11:06:00
O000000013,RELEASED_TO_WMS,2025-01-01 12:10:00
O000000014,ORDER_RECEIVED,2025-01-01 13:32:00
O000000014,RELEASED_TO_WMS,2025-01-01 17:39:00
O000000015,ORDER_RECEIVED,2025-01-01 15:06:00
O000000015,RELEASED_TO_WMS,2025-01-01 19:24:00
O000000016,ORDER_RECEIVED,2025-01-01 10:26:00
O000000016,RELEASED_TO_WMS,2025-01-01 15:19:00
O000000017,ORDER_RECEIVED,2025-01-01 05:44:00
O000000017,RELEASED_TO_WMS,2025-01-01 09:56:00
O000000018,ORDER_RECEIVED,2025-01-01 19:19:00
O000000018,RELEASED_TO_WMS,2025-01-01 19:41:00
O000000019,ORDER_RECEIVED,2025-01-01 11:19:00
O000000019,RELEASED_TO_WMS,2025-01-01 15:38:00
O000000020,ORDER_RECEIVED,2025-01-01 12:08:00
O000000020,RELEASED_TO_WMS,2025-01-01 15:41:00
O000000021,ORDER_RECEIVED,2025-01-01 10:33:00
O000000021,RELEASED_TO_WMS,2025-01-01 14:40:00
O000000022,ORDER_RECEIVED,2025-01-01 01:54:00
