order_id,order_date,region_id,category_id,qty,promised_hours
O000000001,2025-01-01,1,1,4,36
O000000002,2025-01-01,1,1,2,24
O000000003,2025-01-01,1,1,4,12
O000000004,2025-01-01,1,1,1,24
O000000005,2025-01-01,1,1,5,12
O000000006,2025-01-01,1,1,1,12
O000000007,2025-01-01,1,1,4,24
O000000008,2025-01-01,1,1,1,24
O000000009,2025-01-01,1,1,2,24
O000000010,2025-01-01,1,1,4,24
O000000011,2025-01-01,1,2,1,12
O000000012,2025-01-01,1,2,1,24
O000000013,2025-01-01,1,2,4,12
O000000014,2025-01-01,1,2,1,24
O000000015,2025-01-01,1,2,3,24
O000000016,2025-01-01,1,2,2,24
O000000017,2025-01-01,1,2,1,24
O000000018,2025-01-01,1,2,1,24
O000000019,2025-01-01,1,2,2,24
O000000020,2025-01-01,1,3,3,12
O000000021,2025-01-01,1,3,1,24
O000000022,2025-01-01,1,3,1,24
O000000023,2025-01-01,1,3,1,24
O000000024,2025-01-01,1,3,1,24
O000000025,2025-01-01,1,3,1,12
O000000026,2025-01-01,1,3,5,24
O000000027,2025-01-01,1,3,1,12
O000000028,2025-01-01,1,3,2,24
O000000029,2025-01-01,1,3,1,24
O000000030,2025-01-01,1,4,4,24
O000000031,2025-01-01,1,4,1,24
O000000032,2025-01-01,1,4,1,24
O000000033,2025-01-01,1,4,1,12
O000000034,2025-01-01,1,5,1,36
O000000035,2025-01-01,1,5,2,12
O000000036,2025-01-01,1,5,3,24
O000000037,2025-01-01,2,1,3,24
O000000038,2025-01-01,2,1,2,12
O000000039,2025-01-01,2,1,2,24
O000000040,2025-01-01,2,1,1,24
O000000041,2025-01-01,2,1,2,24
O000000042,2025-01-01,2,1,1,36
O000000043,2025-01-01,2,2,1,24
O000000044,2025-01-01,2,2,3,36
O000000045,2025-01-01,2,2,2,36
O000000046,2025-01-01,2,2,1,24
O000000047,2025-01-01,2,2,6,24
O000000048,2025-01-01,2,2,2,24
O000000049,2025-01-01,2,3,2,12
O000000050,2025-01-01,2,3,1,12
O000000051,2025-01-01,2,3,2,24
O000000052,2025-01-01,2,3,3,12
O000000053,2025-01-01,2,3,1,24
O000000054,2025-01-01,2,3,1,24
O000000055,2025-01-01,2,3,2,24
O000000056,2025-01-01,2,4,2,12
O000000057,2025-01-01,2,4,2,24
O000000058,2025-01-01,2,4,4,24
O000000059,2025-01-01,2,5,1,12
O000000060,2025-01-01,2,5,5,24
O000000061,2025-01-01,3,1,1,12
O000000062,2025-01-01,3,1,3,24
O000000063,2025-01-01,3,1,3,24
O000000064,2025-01-01,3,2,3,12
O000000065,2025-01-01,3,2,2,12
O000000066,2025-01-01,3,2,1,24
O000000067,2025-01-01,3,3,1,36
O000000068,2025-01-01,3,3,1,12
O000000069,2025-01-01,3,4,1,12
O000000070,2025-01-01,3,5,1,12
O000000071,2025-01-01,4,1,1,24
O000000072,2025-01-01,4,1,2,24
O000000073,2025-01-01,4,1,2,12
O000000074,2025-01-01,4,1,1,24
O000000075,2025-01-01,4,1,1,24
O000000076,2025-01-01,4,1,1,24
O000000077,2025-01-01,4,1,1,36
O000000078,2025-01-01,4,1,1,24
O000000079,2025-01-01,4,2,6,24
O000000080,2025-01-01,4,2,3,24
O000000081,2025-01-01,4,2,1,24
O000000082,2025-01-01,4,2,1,24
O000000083,2025-01-01,4,2,1,24
O000000084,2025-01-01,4,2,4,24
O000000085,2025-01-01,4,2,4,24
O000000086,2025-01-01,4,2,2,24
O000000087,2025-01-01,4,2,1,24
O000000088,2025-01-01,4,3,1,24
O000000089,2025-01-01,4,3,1,36
O000000090,2025-01-01,4,3,1,24
O000000091,2025-01-01,4,3,4,24
O000000092,2025-01-01,4,3,1,24
O000000093,2025-01-01,4,3,1,24
O000000094,2025-01-01,4,3,4,24
O000000095,2025-01-01,4,3,1,12
O000000096,2025-01-01,4,3,1,24
O000000097,2025-01-01,4,4,3,24
O000000098,2025-01-01,4,4,2,24
O000000099,2025-01-01,4,4,1,36
O000000100,2025-01-01,4,5,2,24
O000000101,2025-01-01,4,5,3,36
O000000102,2025-01-01,4,5,2,24
O000000103,2025-01-01,5,1,1,24
O000000104,2025-01-01,5,1,1,24
O000000105,2025-01-01,5,1,2,24
O000000106,2025-01-01,5,1,3,36
O000000107,2025-01-01,5,1,3,36
O000000108,2025-01-01,5,1,2,24
O000000109,2025-01-01,5,2,1,12
O000000110,2025-01-01,5,2,1,12
O000000111,2025-01-01,5,2,2,12
O000000112,2025-01-01,5,2,1,24
O000000113,2025-01-01,5,2,3,24
O000000114,2025-01-01,5,2,4,12
O000000115,2025-01-01,5,3,1,24
O000000116,2025-01-01,5,3,3,24
O000000117,2025-01-01,5,3,1,24
O000000118,2025-01-01,5,3,2,24
O000000119,2025-01-01,5,3,1,24
O000000120,2025-01-01,5,3,1,12
O000000121,2025-01-01,5,3,2,24
O000000122,2025-01-01,5,3,2,36
O000000123,2025-01-01,5,4,2,24
O000000124,2025-01-01,5,4,2,24
O000000125,2025-01-01,5,4,1,12
O000000126,2025-01-01,5,5,1,24
O000000127,2025-01-01,5,5,3,12
O000000128,2025-01-01,6,1,2,24
O000000129,2025-01-01,6,1,1,24
O000000130,2025-01-01,6,1,4,24
O000000131,2025-01-01,6,1,3,24
O000000132,2025-01-01,6,2,5,24
O000000133,2025-01-01,6,2,2,12
O000000134,2025-01-01,6,2,1,24
O000000135,2025-01-01,6,3,1,24
O000000136,2025-01-01,6,3,1,24
O000000137,2025-01-01,6,3,2,24
O000000138,2025-01-01,6,3,1,24
O000000139,2025-01-01,6,3,5,24
O000000140,2025-01-01,6,4,1,12
O000000141,2025-01-01,6,4,1,12
O000000142,2025-01-01,6,5,5,24
O000000143,2025-01-01,7,1,1,24
O000000144,2025-01-01,7,1,2,12
O000000145,2025-01-01,7,1,1,12
O000000146,2025-01-01,7,1,2,24
O000000147,2025-01-01,7,1,1,12
O000000148,2025-01-01,7,2,5,24
O000000149,2025-01-01,7,2,3,24
O000000150,2025-01-01,7,2,5,24
O000000151,2025-01-01,7,2,1,24
O000000152,2025-01-01,7,3,2,24
O000000153,2025-01-01,7,3,1,36
O000000154,2025-01-01,7,3,2,12
O000000155,2025-01-01,7,3,2,36
O000000156,2025-01-01,7,3,6,24
O000000157,2025-01-01,7,4,1,24
O000000158,2025-01-01,7,4,5,24
O000000159,2025-01-01,7,5,2,12
O000000160,2025-01-01,7,5,5,24
O000000161,2025-01-01,8,1,1,24
O000000162,2025-01-01,8,1,3,24
O000000163,2025-01-01,8,2,1,12
O000000164,2025-01-01,8,2,6,12
O000000165,2025-01-01,8,3,2,24
O000000166,2025-01-01,8,3,1,24
O000000167,2025-01-01,8,4,3,24
O000000168,2025-01-01,8,5,3,24
O000000169,2025-01-01,9,1,2,24
O000000170,2025-01-01,9,1,4,12
O000000171,2025-01-01,9,1,4,36
O000000172,2025-01-01,9,1,1,24
O000000173,2025-01-01,9,1,1,12
O000000174,2025-01-01,9,1,1,24
O000000175,2025-01-01,9,2,2,36
O000000176,2025-01-01,9,2,2,24
O000000177,2025-01-01,9,2,1,36
O000000178,2025-01-01,9,2,4,12
O000000179,2025-01-01,9,2,1,24
O000000180,2025-01-01,9,2,2,24
O000000181,2025-01-01,9,3,4,36
O000000182,2025-01-01,9,3,2,12
O000000183,2025-01-01,9,3,4,36
O000000184,2025-01-01,9,3,1,12
O000000185,2025-01-01,9,3,1,24
O000000186,2025-01-01,9,3,2,12
O000000187,2025-01-01,9,3,1,24
O000000188,2025-01-01,9,4,1,24
O000000189,2025-01-01,9,4,1,12
O000000190,2025-01-01,9,4,1,24
O000000191,2025-01-01,9,5,2,24
O000000192,2025-01-01,9,5,2,12
O000000193,2025-01-01,10,1,2,24
O000000194,2025-01-01,10,1,1,24
O000000195,2025-01-01,10,1,1,12
O000000196,2025-01-01,10,2,1,12
O000000197,2025-01-01,10,2,1,12
O000000198,2025-01-01,10,2,2,24
O000000199,2025-01-01,10,3,1,24
O000000200,2025-01-01,10,3,1,24
O000000201,2025-01-01,10,3,3,24
O000000202,2025-01-01,10,4,3,24
O000000203,2025-01-01,10,5,1,24
O000000204,2025-01-01,11,1,1,12
O000000205,2025-01-01,11,1,1,12
O000000206,2025-01-01,11,1,3,24
O000000207,2025-01-01,11,1,1,12
O000000208,2025-01-01,11,2,1,24
O000000209,2025-01-01,11,2,1,12
O000000210,2025-01-01,11,2,2,24
O000000211,2025-01-01,11,3,3,12
O000000212,2025-01-01,11,3,2,24
O000000213,2025-01-01,11,3,1,24
O000000214,2025-01-01,11,3,2,24
O000000215,2025-01-01,11,4,3,24
O000000216,2025-01-01,11,4,4,24
O000000217,2025-01-01,11,5,2,24
O000000218,2025-01-01,12,1,2,36
O000000219,2025-01-01,12,1,1,24
O000000220,2025-01-01,12,1,2,24
O000000221,2025-01-01,12,1,3,24
O000000222,2025-01-01,12,1,2,36
O000000223,2025-01-01,12,2,2,12
O000000224,2025-01-01,12,2,1,36
O000000225,2025-01-01,12,2,3,24
O000000226,2025-01-01,12,2,3,36
O000000227,2025-01-01,12,3,1,24
O000000228,2025-01-01,12,3,1,12
O000000229,2025-01-01,12,3,3,12
O000000230,2025-01-01,12,3,3,12
O000000231,2025-01-01,12,3,2,12
O000000232,2025-01-01,12,4,4,24
O000000233,2025-01-01,12,4,7,12
O000000234,2025-01-01,12,5,2,24
O000000235,2025-01-01,12,5,2,24
O000000236,2025-01-01,13,1,2,24
O000000237,2025-01-01,13,1,1,24
O000000238,2025-01-01,13,1,2,36
O000000239,2025-01-01,13,1,1,24
O000000240,2025-01-01,13,1,1,24
O000000241,2025-01-01,13,2,2,24
O000000242,2025-01-01,13,2,3,24
O000000243,2025-01-01,13,2,1,12
O000000244,2025-01-01,13,2,2,24
O000000245,2025-01-01,13,2,2,24
O000000246,2025-01-01,13,3,1,12
O000000247,2025-01-01,13,3,3,24
O000000248,2025-01-01,13,3,1,12
O000000249,2025-01-01,13,3,1,36
O000000250,2025-01-01,13,3,2,24
O000000251,2025-01-01,13,3,1,36
O000000252,2025-01-01,13,4,3,36
O000000253,2025-01-01,13,4,1,24
O000000254,2025-01-01,13,4,4,36
O000000255,2025-01-01,13,5,2,36
O000000256,2025-01-01,14,1,1,24
O000000257,2025-01-01,14,1,1,12
O000000258,2025-01-01,14,1,3,24
O000000259,2025-01-01,14,1,3,36
O000000260,2025-01-01,14,2,1,24
O000000261,2025-01-01,14,2,1,24
O000000262,2025-01-01,14,2,5,36
O000000263,2025-01-01,14,3,2,24
O000000264,2025-01-01,14,3,4,24
O000000265,2025-01-01,14,3,2,12
O000000266,2025-01-01,14,3,3,24
O000000267,2025-01-01,14,3,2,12
O000000268,2025-01-01,14,4,1,24
O000000269,2025-01-01,14,5,1,24
O000000270,2025-01-01,15,1,2,24
O000000271,2025-01-01,15,1,3,24
O000000272,2025-01-01,15,1,3,24
O000000273,2025-01-01,15,1,5,24
O000000274,2025-01-01,15,1,2,12
O000000275,2025-01-01,15,1,8,12
O000000276,2025-01-01,15,2,2,24
O000000277,2025-01-01,15,2,1,24
O000000278,2025-01-01,15,2,2,24
O000000279,2025-01-01,15,2,2,24
O000000280,2025-01-01,15,2,1,24
O000000281,2025-01-01,15,2,2,24
O000000282,2025-01-01,15,3,3,12
O000000283,2025-01-01,15,3,3,12
O000000284,2025-01-01,15,3,2,24
O000000285,2025-01-01,15,3,5,12
O000000286,2025-01-01,15,3,3,24
O000000287,2025-01-01,15,3,1,24
O000000288,2025-01-01,15,3,4,24
O000000289,2025-01-01,15,4,4,24
O000000290,2025-01-01,15,4,1,12
O000000291,2025-01-01,15,5,1,12
O000000292,2025-01-01,15,5,1,24
O000000293,2025-01-01,16,1,1,24
O000000294,2025-01-01,16,1,2,24
O000000295,2025-01-01,16,1,3,24
O000000296,2025-01-01,16,1,3,24
O000000297,2025-01-01,16,2,2,12
O000000298,2025-01-01,16,2,1,12
O000000299,2025-01-01,16,2,1,24
O000000300,2025-01-01,16,3,2,24
O000000301,2025-01-01,16,3,4,12
O000000302,2025-01-01,16,3,2,24
