order_id,line_no,pick_seconds,pack_seconds,cycle_time_seconds
O000000001,1,156,94,250
O000000002,1,30,19,49
O000000002,2,41,12,53
O000000003,1,37,20,57
O000000003,2,21,22,43
O000000003,3,89,54,143
O000000004,1,39,19,58
O000000004,2,39,17,56
O000000004,3,21,22,43
O000000005,1,90,43,133
O000000005,2,28,30,58
O000000005,3,43,17,60
O000000006,1,35,29,64
O000000006,2,40,28,68
O000000007,1,90,78,168
O000000007,2,24,24,48
O000000007,3,33,12,45
O000000008,1,20,23,43
O000000008,2,40,19,59
O000000009,1,70,26,96
O000000010,1,115,76,191
O000000010,2,28,27,55
O000000011,1,44,17,61
O000000011,2,42,22,64
O000000011,3,39,28,67
O000000012,1,23,13,36
O000000012,2,31,17,48
O000000012,3,19,27,46
O000000013,1,44,44,88
O000000013,2,36,21,57
O000000013,3,38,17,55
O000000014,1,44,23,67
O000000014,2,27,14,41
O000000014,3,28,25,53
O000000015,1,31,20,51
O000000015,2,46,49,95
O000000016,1,22,14,36
O000000016,2,31,29,60
O000000016,3,24,22,46
O000000017,1,36,25,61
O000000017,2,30,17,47
O000000018,1,40,26,66
O000000019,1,37,17,54
O000000019,2,26,20,46
O000000020,1,40,12,52
O000000020,2,40,14,54
O000000020,3,28,25,53
O000000021,1,26,17,43
O000000021,2,36,21,57
O000000022,1,22,20,42
O000000022,2,23,18,41
O000000023,1,18,20,38
O000000023,2,39,26,65
O000000024,1,36,28,64
O000000024,2,37,20,57
O000000025,1,39,21,60
O000000026,1,61,45,106
O000000026,2,67,46,113
O000000026,3,22,21,43
O000000027,1,21,14,35
O000000028,1,36,17,53
O000000028,2,31,12,43
O000000028,3,33,29,62
O000000029,1,39,22,61
O000000030,1,141,58,199
O000000031,1,33,14,47
O000000031,2,33,29,62
O000000031,3,26,25,51
O000000032,1,19,26,45
O000000032,2,30,25,55
O000000032,3,24,24,48
O000000033,1,29,27,56
O000000033,2,41,29,70
O000000034,1,24,30,54
O000000035,1,39,28,67
O000000036,1,51,27,78
O000000036,2,26,23,49
O000000037,1,72,60,132
O000000037,2,33,21,54
O000000037,3,39,29,68
O000000038,1,36,16,52
O000000038,2,29,28,57
O000000039,1,80,39,119
O000000040,1,23,19,42
O000000040,2,19,16,35
