shipment_id,order_id,region_id,promised_hours,planned_distance_km,planned_cost
S000000001,O000000001,1,36,22.24,6235.0
S000000002,O000000002,1,24,13.69,4788.0
S000000003,O000000003,1,12,24.39,5635.0
S000000004,O000000004,1,24,20.28,5861.0
S000000005,O000000005,1,12,4.9,3918.0
S000000006,O000000006,1,12,27.38,6236.0
S000000007,O000000007,1,24,21.91,6082.0
S000000008,O000000008,1,24,22.54,5545.0
S000000009,O000000009,1,24,5.77,3737.0
S000000010,O000000010,1,24,13.98,4883.0
S000000011,O000000011,1,12,11.96,4782.0
S000000012,O000000012,1,24,26.13,5588.0
S000000013,O000000013,1,12,18.92,5995.0
S000000014,O000000014,1,24,23.48,6339.0
S000000015,O000000015,1,24,13.81,4892.0
S000000016,O000000016,1,24,8.29,4424.0
S000000017,O000000017,1,24,16.64,5101.0
S000000018,O000000018,1,24,4.13,3675.0
S000000019,O000000019,1,24,23.6,5547.0
S000000020,O000000020,1,12,18.61,5582.0
S000000021,O000000021,1,24,21.83,5914.0
S000000022,O000000022,1,24,11.54,4475.0
S000000023,O000000023,1,24,27.25,6138.0
S000000024,O000000024,1,24,25.27,6627.0
S000000025,O000000025,1,12,22.35,5512.0
S000000026,O000000026,1,24,7.46,3970.0
S000000027,O000000027,1,12,14.4,4704.0
S000000028,O000000028,1,24,3.62,3676.0
S000000029,O000000029,1,24,6.43,3935.0
S000000030,O000000030,1,24,19.92,5957.0
S000000031,O000000031,1,24,21.49,6184.0
S000000032,O000000032,1,24,27.17,7087.0
S000000033,O000000033,1,12,10.81,4233.0
S000000034,O000000034,1,36,11.95,4641.0
S000000035,O000000035,1,12,14.47,4941.0
S000000036,O000000036,1,24,7.33,3916.0
S000000037,O000000037,2,24,5.81,3799.0
S000000038,O000000038,2,12,14.63,4901.0
S000000039,O000000039,2,24,8.29,4287.0
S000000040,O000000040,2,24,19.58,5911.0
S000000041,O000000041,2,24,13.65,4643.0
S000000042,O000000042,2,36,23.73,5851.0
S000000043,O000000043,2,24,20.36,5985.0
S000000044,O000000044,2,36,10.47,4706.0
S000000045,O000000045,2,36,23.72,6488.0
S000000046,O000000046,2,24,23.02,6539.0
S000000047,O000000047,2,24,12.38,4820.0
S000000048,O000000048,2,24,9.85,4435.0
S000000049,O000000049,2,12,19.9,5738.0
S000000050,O000000050,2,12,6.06,4074.0
S000000051,O000000051,2,24,7.6,4063.0
S000000052,O000000052,2,12,2.69,3460.0
S000000053,O000000053,2,24,22.57,5879.0
S000000054,O000000054,2,24,19.45,6117.0
S000000055,O000000055,2,24,20.48,5961.0
S000000056,O000000056,2,12,22.41,6067.0
S000000057,O000000057,2,24,14.2,4935.0
S000000058,O000000058,2,24,17.0,4904.0
S000000059,O000000059,2,12,6.06,3824.0
S000000060,O000000060,2,24,5.42,3766.0
S000000061,O000000061,3,12,19.54,5583.0
S000000062,O000000062,3,24,14.51,4952.0
S000000063,O000000063,3,24,16.91,5024.0
S000000064,O000000064,3,12,22.01,5915.0
S000000065,O000000065,3,12,18.69,5438.0
S000000066,O000000066,3,24,16.62,5618.0
S000000067,O000000067,3,36,16.76,5469.0
S000000068,O000000068,3,12,10.25,4205.0
S000000069,O000000069,3,12,3.29,3691.0
S000000070,O000000070,3,12,13.64,4862.0
S000000071,O000000071,4,24,7.97,4370.0
S000000072,O000000072,4,24,12.92,5088.0
S000000073,O000000073,4,12,24.26,6791.0
S000000074,O000000074,4,24,8.47,4234.0
S000000075,O000000075,4,24,3.99,3746.0
S000000076,O000000076,4,24,9.68,4584.0
S000000077,O000000077,4,36,9.99,4612.0
S000000078,O000000078,4,24,19.38,5783.0
S000000079,O000000079,4,24,16.7,5606.0
S000000080,O000000080,4,24,22.49,6015.0
S000000081,O000000081,4,24,19.44,5506.0
S000000082,O000000082,4,24,12.86,4627.0
S000000083,O000000083,4,24,23.26,5777.0
S000000084,O000000084,4,24,6.76,3869.0
S000000085,O000000085,4,24,3.08,3620.0
S000000086,O000000086,4,24,4.8,3830.0
S000000087,O000000087,4,24,20.92,5166.0
S000000088,O000000088,4,24,14.28,5048.0
S000000089,O000000089,4,36,6.61,4060.0
S000000090,O000000090,4,24,15.28,4702.0
S000000091,O000000091,4,24,6.38,4078.0
S000000092,O000000092,4,24,20.26,5912.0
S000000093,O000000093,4,24,13.88,4728.0
S000000094,O000000094,4,24,12.22,4584.0
S000000095,O000000095,4,12,10.19,4491.0
S000000096,O000000096,4,24,18.57,5438.0
S000000097,O000000097,4,24,11.73,4488.0
S000000098,O000000098,4,24,4.74,3822.0
S000000099,O000000099,4,36,5.51,3965.0
S000000100,O000000100,4,24,27.03,5903.0
S000000101,O000000101,4,36,25.67,6835.0
S000000102,O000000102,4,24,20.34,5994.0
S000000103,O000000103,5,24,9.28,4144.0
S000000104,O000000104,5,24,27.21,5838.0
S000000105,O000000105,5,24,22.36,5551.0
S000000106,O000000106,5,36,20.78,6208.0
S000000107,O000000107,5,36,13.96,4542.0
S000000108,O000000108,5,24,9.44,4507.0
S000000109,O000000109,5,12,4.96,3880.0
S000000110,O000000110,5,12,25.52,6479.0
S000000111,O000000111,5,12,14.12,4571.0
S000000112,O000000112,5,24,7.66,4203.0
S000000113,O000000113,5,24,10.3,4259.0
S000000114,O000000114,5,12,17.27,5334.0
S000000115,O000000115,5,24,7.01,4212.0
S000000116,O000000116,5,24,24.34,5538.0
S000000117,O000000117,5,24,21.84,6156.0
S000000118,O000000118,5,24,20.85,6310.0
S000000119,O000000119,5,24,13.52,4883.0
S000000120,O000000120,5,12,18.5,5803.0
S000000121,O000000121,5,24,17.39,5117.0
S000000122,O000000122,5,36,19.07,5150.0
S000000123,O000000123,5,24,4.65,3754.0
S000000124,O000000124,5,24,13.1,5006.0
S000000125,O000000125,5,12,3.56,3660.0
S000000126,O000000126,5,24,15.1,5125.0
S000000127,O000000127,5,12,10.91,4319.0
S000000128,O000000128,6,24,6.19,4037.0
S000000129,O000000129,6,24,5.14,3800.0
S000000130,O000000130,6,24,17.48,5285.0
S000000131,O000000131,6,24,6.85,4075.0
S000000132,O000000132,6,24,26.09,6215.0
S000000133,O000000133,6,12,17.32,4985.0
S000000134,O000000134,6,24,11.35,4747.0
S000000135,O000000135,6,24,17.57,5231.0
S000000136,O000000136,6,24,3.08,3602.0
S000000137,O000000137,6,24,26.94,7156.0
S000000138,O000000138,6,24,14.8,5165.0
S000000139,O000000139,6,24,22.46,5848.0
S000000140,O000000140,6,12,4.61,3779.0
S000000141,O000000141,6,12,14.91,4825.0
S000000142,O000000142,6,24,15.01,5113.0
S000000143,O000000143,7,24,26.41,6220.0
S000000144,O000000144,7,12,17.08,5381.0
S000000145,O000000145,7,12,14.57,5032.0
S000000146,O000000146,7,24,9.31,4310.0
S000000147,O000000147,7,12,10.96,4823.0
S000000148,O000000148,7,24,15.78,5412.0
S000000149,O000000149,7,24,13.69,4712.0
S000000150,O000000150,7,24,3.05,3516.0
S000000151,O000000151,7,24,23.57,6632.0
S000000152,O000000152,7,24,25.35,5704.0
S000000153,O000000153,7,36,6.08,3847.0
S000000154,O000000154,7,12,16.63,5689.0
S000000155,O000000155,7,36,5.27,3824.0
S000000156,O000000156,7,24,19.64,6033.0
S000000157,O000000157,7,24,9.67,4406.0
S000000158,O000000158,7,24,19.32,5613.0
S000000159,O000000159,7,12,21.04,5251.0
S000000160,O000000160,7,24,22.1,5227.0
S000000161,O000000161,8,24,5.25,3741.0
S000000162,O000000162,8,24,25.86,6584.0
S000000163,O000000163,8,12,8.37,4433.0
S000000164,O000000164,8,12,3.45,3689.0
S000000165,O000000165,8,24,16.65,4865.0
S000000166,O000000166,8,24,11.96,4649.0
S000000167,O000000167,8,24,23.66,6422.0
S000000168,O000000168,8,24,23.11,5920.0
S000000169,O000000169,9,24,10.59,4279.0
S000000170,O000000170,9,12,26.8,6516.0
S000000171,O000000171,9,36,9.92,4667.0
S000000172,O000000172,9,24,15.63,4940.0
S000000173,O000000173,9,12,9.03,4354.0
S000000174,O000000174,9,24,26.37,6580.0
S000000175,O000000175,9,36,6.7,3951.0
S000000176,O000000176,9,24,3.65,3664.0
S000000177,O000000177,9,36,13.59,5100.0
S000000178,O000000178,9,12,27.81,6196.0
S000000179,O000000179,9,24,25.24,6201.0
S000000180,O000000180,9,24,21.59,5280.0
S000000181,O000000181,9,36,25.22,6539.0
S000000182,O000000182,9,12,25.28,5901.0
S000000183,O000000183,9,36,15.73,5146.0
S000000184,O000000184,9,12,10.56,4424.0
S000000185,O000000185,9,24,22.19,6184.0
S000000186,O000000186,9,12,19.37,5269.0
S000000187,O000000187,9,24,12.03,4960.0
S000000188,O000000188,9,24,4.91,3849.0
S000000189,O000000189,9,12,21.54,5999.0
S000000190,O000000190,9,24,9.19,4268.0
S000000191,O000000191,9,24,26.39,5741.0
S000000192,O000000192,9,12,8.64,4068.0
S000000193,O000000193,10,24,5.63,3800.0
S000000194,O000000194,10,24,23.69,5420.0
S000000195,O000000195,10,12,6.41,4024.0
S000000196,O000000196,10,12,7.07,3854.0
S000000197,O000000197,10,12,17.78,5275.0
