bits,selected_count,energy,selected_hubs
10100,2,-4139.908940043506,"서북권 MFC 후보, 동남권 MFC 후보"
00110,2,-4138.985034292155,"동남권 MFC 후보, 서남권 MFC 후보"
01100,2,-4130.542076702197,"동북권 MFC 후보, 동남권 MFC 후보"
00101,2,-4126.227524796069,"동남권 MFC 후보, 중부권 MFC 후보"
10010,2,-4125.130771712209,"서북권 MFC 후보, 서남권 MFC 후보"
11000,2,-4116.68781412225,"서북권 MFC 후보, 동북권 MFC 후보"
01010,2,-4115.7639083709,"동북권 MFC 후보, 서남권 MFC 후보"
10001,2,-4112.373262216122,"서북권 MFC 후보, 중부권 MFC 후보"
00011,2,-4111.449356464772,"서남권 MFC 후보, 중부권 MFC 후보"
01001,2,-4103.006398874813,"동북권 MFC 후보, 중부권 MFC 후보"
10110,3,-3202.012373023935,"서북권 MFC 후보, 동남권 MFC 후보, 서남권 MFC 후보"
11100,3,-3193.569415433976,"서북권 MFC 후보, 동북권 MFC 후보, 동남권 MFC 후보"
01110,3,-3192.645509682626,"동북권 MFC 후보, 동남권 MFC 후보, 서남권 MFC 후보"
10101,3,-3189.2548635278486,"서북권 MFC 후보, 동남권 MFC 후보, 중부권 MFC 후보"
00111,3,-3188.330957776498,"동남권 MFC 후보, 서남권 MFC 후보, 중부권 MFC 후보"
01101,3,-3179.8880001865396,"동북권 MFC 후보, 동남권 MFC 후보, 중부권 MFC 후보"
11010,3,-3178.791247102679,"서북권 MFC 후보, 동북권 MFC 후보, 서남권 MFC 후보"
10011,3,-3174.4766951965516,"서북권 MFC 후보, 서남권 MFC 후보, 중부권 MFC 후보"
11001,3,-3166.0337376065922,"서북권 MFC 후보, 동북권 MFC 후보, 중부권 MFC 후보"
01011,3,-3165.1098318552426,"동북권 MFC 후보, 서남권 MFC 후보, 중부권 MFC 후보"
00100,1,-3076.881601311726,동남권 MFC 후보
10000,1,-3063.0273387317793,서북권 MFC 후보
00010,1,-3062.1034329804293,서남권 MFC 후보
01000,1,-3053.6604753904708,동북권 MFC 후보
00001,1,-3049.3459234843426,중부권 MFC 후보
11110,4,-255.67284841440505,"서북권 MFC 후보, 동북권 MFC 후보, 동남권 MFC 후보, 서남권 MFC 후보"
10111,4,-251.35829650827782,"서북권 MFC 후보, 동남권 MFC 후보, 서남권 MFC 후보, 중부권 MFC 후보"
11101,4,-242.9153389183184,"서북권 MFC 후보, 동북권 MFC 후보, 동남권 MFC 후보, 중부권 MFC 후보"
01111,4,-241.99143316696882,"동북권 MFC 후보, 동남권 MFC 후보, 서남권 MFC 후보, 중부권 MFC 후보"
11011,4,-228.1371705870215,"서북권 MFC 후보, 동북권 MFC 후보, 서남권 MFC 후보, 중부권 MFC 후보"
00000,0,0.0,
11111,5,4694.981228101252,"서북권 MFC 후보, 동북권 MFC 후보, 동남권 MFC 후보, 서남권 MFC 후보, 중부권 MFC 후보"
