recommendation_type,rank,region_name,score,forecast_volume,growth_rate,cv,nearest_hub_distance_km,ecommerce_index,population,reason
Micro Fulfillment Center,1,강남구,0.7792,62904,0.0445,0.1675,5.18,1.38,561052,예측 물동량 상위권; 최근 수요 증가율 높음; 이커머스 지수 높음
Micro Fulfillment Center,2,송파구,0.7465,69746,0.0405,0.1667,0.0,1.32,658338,예측 물동량 상위권; 최근 수요 증가율 높음; 이커머스 지수 높음
Micro Fulfillment Center,3,관악구,0.574,42265,0.0275,0.1681,10.31,1.12,487815,최근 수요 증가율 높음; 기존 허브와 거리 gap 존재
Micro Fulfillment Center,4,강서구,0.5617,51991,0.0329,0.1654,0.0,1.15,574315,최근 수요 증가율 높음
Micro Fulfillment Center,5,서초구,0.5544,39152,0.0331,0.1679,7.33,1.23,408451,최근 수요 증가율 높음; 기존 허브와 거리 gap 존재; 이커머스 지수 높음
Micro Fulfillment Center,6,영등포구,0.4713,34754,0.034,0.1693,4.46,1.18,376837,최근 수요 증가율 높음
Micro Fulfillment Center,7,마포구,0.4306,35601,0.0356,0.1709,0.0,1.24,364638,최근 수요 증가율 높음; 이커머스 지수 높음
Micro Fulfillment Center,8,강동구,0.3932,37979,0.0161,0.166,2.35,1.05,463998,균형형 후보
Micro Fulfillment Center,9,동작구,0.3866,29685,0.0185,0.1662,6.84,1.02,380596,균형형 후보
Micro Fulfillment Center,10,구로구,0.3787,29447,0.0138,0.1638,7.01,1.0,395315,균형형 후보
Micro Fulfillment Center,11,양천구,0.3513,33175,0.0119,0.1661,4.06,1.0,436028,균형형 후보
Micro Fulfillment Center,12,성동구,0.3447,24170,0.0273,0.1666,3.46,1.09,285543,균형형 후보
Micro Fulfillment Center,13,노원구,0.3381,36784,0.012,0.1636,0.0,0.96,503734,균형형 후보
Micro Fulfillment Center,14,은평구,0.323,33045,0.0085,0.1685,4.7,0.94,465982,균형형 후보
Micro Fulfillment Center,15,성북구,0.3011,30172,0.0066,0.1635,3.33,0.94,430528,균형형 후보
Micro Fulfillment Center,16,광진구,0.285,26258,0.0113,0.166,3.38,1.01,337416,균형형 후보
Micro Fulfillment Center,17,중랑구,0.2801,25496,0.0036,0.1624,6.18,0.88,384272,균형형 후보
Micro Fulfillment Center,18,용산구,0.2795,18678,0.0243,0.1689,3.5,1.1,218650,균형형 후보
Micro Fulfillment Center,19,동대문구,0.2713,24761,0.013,0.1673,3.89,0.96,342837,균형형 후보
Micro Fulfillment Center,20,서대문구,0.2423,22995,0.0125,0.1689,3.39,0.98,305946,균형형 후보
Micro Fulfillment Center,21,금천구,0.2382,14111,0.0066,0.1647,11.21,0.84,229642,기존 허브와 거리 gap 존재
Micro Fulfillment Center,22,강북구,0.1107,17214,-0.003,0.1671,3.18,0.82,291384,균형형 후보
Micro Fulfillment Center,23,도봉구,0.0816,18324,-0.0046,0.1691,1.83,0.8,308627,균형형 후보
Micro Fulfillment Center,24,종로구,0.0073,9117,-0.0029,0.1715,1.99,0.86,141379,균형형 후보
Micro Fulfillment Center,25,중구,-0.0317,8193,-0.0036,0.1737,0.0,0.9,120437,균형형 후보
Parcel Locker,1,송파구,0.9082,69746,0.0405,0.1667,0.0,1.32,658338,예측 물동량 상위권; 최근 수요 증가율 높음; 이커머스 지수 높음
Parcel Locker,2,강남구,0.8699,62904,0.0445,0.1675,5.18,1.38,561052,예측 물동량 상위권; 최근 수요 증가율 높음; 이커머스 지수 높음
Parcel Locker,3,강서구,0.6762,51991,0.0329,0.1654,0.0,1.15,574315,최근 수요 증가율 높음
Parcel Locker,4,서초구,0.5865,39152,0.0331,0.1679,7.33,1.23,408451,최근 수요 증가율 높음; 이커머스 지수 높음
Parcel Locker,5,마포구,0.5857,35601,0.0356,0.1709,0.0,1.24,364638,최근 수요 증가율 높음; 이커머스 지수 높음; 피크 변동성 대응 필요
Parcel Locker,6,관악구,0.5831,42265,0.0275,0.1681,10.31,1.12,487815,최근 수요 증가율 높음
Parcel Locker,7,영등포구,0.5465,34754,0.034,0.1693,4.46,1.18,376837,최근 수요 증가율 높음
Parcel Locker,8,강동구,0.474,37979,0.0161,0.166,2.35,1.05,463998,균형형 후보
Parcel Locker,9,노원구,0.4171,36784,0.012,0.1636,0.0,0.96,503734,균형형 후보
Parcel Locker,10,은평구,0.4075,33045,0.0085,0.1685,4.7,0.94,465982,균형형 후보
Parcel Locker,11,양천구,0.406,33175,0.0119,0.1661,4.06,1.0,436028,균형형 후보
Parcel Locker,12,동작구,0.3919,29685,0.0185,0.1662,6.84,1.02,380596,균형형 후보
Parcel Locker,13,성동구,0.3767,24170,0.0273,0.1666,3.46,1.09,285543,균형형 후보
Parcel Locker,14,구로구,0.354,29447,0.0138,0.1638,7.01,1.0,395315,균형형 후보
Parcel Locker,15,용산구,0.3337,18678,0.0243,0.1689,3.5,1.1,218650,균형형 후보
Parcel Locker,16,광진구,0.3303,26258,0.0113,0.166,3.38,1.01,337416,균형형 후보
Parcel Locker,17,성북구,0.328,30172,0.0066,0.1635,3.33,0.94,430528,균형형 후보
Parcel Locker,18,동대문구,0.3221,24761,0.013,0.1673,3.89,0.96,342837,균형형 후보
Parcel Locker,19,서대문구,0.3184,22995,0.0125,0.1689,3.39,0.98,305946,균형형 후보
Parcel Locker,20,중랑구,0.2447,25496,0.0036,0.1624,6.18,0.88,384272,균형형 후보
Parcel Locker,21,도봉구,0.1843,18324,-0.0046,0.1691,1.83,0.8,308627,균형형 후보
Parcel Locker,22,강북구,0.165,17214,-0.003,0.1671,3.18,0.82,291384,균형형 후보
Parcel Locker,23,금천구,0.1374,14111,0.0066,0.1647,11.21,0.84,229642,균형형 후보
Parcel Locker,24,중구,0.1339,8193,-0.0036,0.1737,0.0,0.9,120437,피크 변동성 대응 필요
Parcel Locker,25,종로구,0.1165,9117,-0.0029,0.1715,1.99,0.86,141379,피크 변동성 대응 필요
