date_key,category_name,inbound_volume
2025-01-01,도서/문구,2058
2025-01-01,생활용품,5905
2025-01-01,식품/신선,5095
2025-01-01,전자/가전,2465
2025-01-01,패션/잡화,5241
2025-01-02,도서/문구,2557
2025-01-02,생활용품,7844
2025-01-02,식품/신선,5847
2025-01-02,전자/가전,3203
2025-01-02,패션/잡화,6727
2025-01-03,도서/문구,2642
2025-01-03,생활용품,7972
2025-01-03,식품/신선,6247
2025-01-03,전자/가전,3262
2025-01-03,패션/잡화,7162
2025-01-04,도서/문구,2155
2025-01-04,생활용품,6300
2025-01-04,식품/신선,4922
2025-01-04,전자/가전,2509
2025-01-04,패션/잡화,5605
2025-01-05,도서/문구,1944
2025-01-05,생활용품,6045
2025-01-05,식품/신선,4626
2025-01-05,전자/가전,2486
2025-01-05,패션/잡화,5364
2025-01-06,도서/문구,3085
2025-01-06,생활용품,8980
2025-01-06,식품/신선,7916
2025-01-06,전자/가전,3712
2025-01-06,패션/잡화,8237
2025-01-07,도서/문구,2908
2025-01-07,생활용품,8454
2025-01-07,식품/신선,7601
2025-01-07,전자/가전,3495
2025-01-07,패션/잡화,7790
2025-01-08,도서/문구,2713
2025-01-08,생활용품,7766
2025-01-08,식품/신선,7144
2025-01-08,전자/가전,3257
2025-01-08,패션/잡화,7045
2025-01-09,도서/문구,2549
2025-01-09,생활용품,7688
2025-01-09,식품/신선,5966
2025-01-09,전자/가전,3231
2025-01-09,패션/잡화,6887
2025-01-10,도서/문구,2731
2025-01-10,생활용품,8326
2025-01-10,식품/신선,6352
2025-01-10,전자/가전,3299
2025-01-10,패션/잡화,7237
2025-01-11,도서/문구,2284
2025-01-11,생활용품,6805
2025-01-11,식품/신선,5366
2025-01-11,전자/가전,2746
2025-01-11,패션/잡화,6044
2025-01-12,도서/문구,2022
2025-01-12,생활용품,6090
2025-01-12,식품/신선,4892
2025-01-12,전자/가전,2492
2025-01-12,패션/잡화,5422
2025-01-13,도서/문구,3107
2025-01-13,생활용품,9250
2025-01-13,식품/신선,8169
2025-01-13,전자/가전,3784
2025-01-13,패션/잡화,8308
2025-01-14,도서/문구,2925
2025-01-14,생활용품,8851
2025-01-14,식품/신선,7542
2025-01-14,전자/가전,3583
2025-01-14,패션/잡화,7896
2025-01-15,도서/문구,2663
2025-01-15,생활용품,8008
2025-01-15,식품/신선,6979
2025-01-15,전자/가전,3348
2025-01-15,패션/잡화,7094
2025-01-16,도서/문구,2687
2025-01-16,생활용품,7906
2025-01-16,식품/신선,6303
2025-01-16,전자/가전,3252
2025-01-16,패션/잡화,6854
2025-01-17,도서/문구,2747
2025-01-17,생활용품,8053
2025-01-17,식품/신선,6348
2025-01-17,전자/가전,3368
2025-01-17,패션/잡화,7221
2025-01-18,도서/문구,2104
2025-01-18,생활용품,6491
2025-01-18,식품/신선,5030
2025-01-18,전자/가전,2700
2025-01-18,패션/잡화,5788
2025-01-19,도서/문구,2136
2025-01-19,생활용품,6201
2025-01-19,식품/신선,4696
2025-01-19,전자/가전,2533
2025-01-19,패션/잡화,5419
2025-01-20,도서/문구,3102
2025-01-20,생활용품,9384
2025-01-20,식품/신선,8292
2025-01-20,전자/가전,3724
2025-01-20,패션/잡화,8425
2025-01-21,도서/문구,3136
2025-01-21,생활용품,9484
2025-01-21,식품/신선,8158
2025-01-21,전자/가전,3730
2025-01-21,패션/잡화,8284
2025-01-22,도서/문구,2610
2025-01-22,생활용품,8172
2025-01-22,식품/신선,6993
2025-01-22,전자/가전,3371
2025-01-22,패션/잡화,7191
2025-01-23,도서/문구,2597
2025-01-23,생활용품,7882
2025-01-23,식품/신선,6347
2025-01-23,전자/가전,3315
2025-01-23,패션/잡화,6956
2025-01-24,도서/문구,2738
2025-01-24,생활용품,8187
2025-01-24,식품/신선,6381
2025-01-24,전자/가전,3382
2025-01-24,패션/잡화,7450
