region_name,avg_daily_volume,std_daily_volume,total_volume,cv
송파구,2560.2619047619046,426.7653041867372,537655,0.1667
강남구,2284.7238095238095,382.75253402323466,479792,0.1675
강서구,1909.4190476190477,315.8147140440802,400978,0.1654
관악구,1577.695238095238,265.20278866552627,331316,0.1681
서초구,1462.4380952380952,245.5111813514883,307112,0.1679
강동구,1393.4380952380952,231.26762904729745,292622,0.166
노원구,1374.3095238095239,224.86275325984923,288605,0.1636
마포구,1319.3190476190475,225.43125734591982,277057,0.1709
영등포구,1290.8761904761905,218.51787376066565,271084,0.1693
양천구,1244.7285714285715,206.69973979992346,261393,0.1661
은평구,1237.5857142857142,208.56060536623727,259893,0.1685
성북구,1146.0857142857142,187.42488711931585,240678,0.1635
구로구,1125.4476190476191,184.34054096196752,236344,0.1638
동작구,1107.7619047619048,184.09392879278798,232630,0.1662
광진구,974.0571428571428,161.65989039971072,204552,0.166
중랑구,950.6952380952381,154.35648938265064,199646,0.1624
동대문구,937.3095238095239,156.76625822375007,196835,0.1673
성동구,896.0428571428571,149.3138471433091,188169,0.1666
서대문구,852.9190476190477,144.0401596015361,179113,0.1689
용산구,692.4142857142857,116.91687140385407,145407,0.1689
도봉구,690.0666666666667,116.678740774163,144914,0.1691
강북구,669.7952380952381,111.9210717112968,140657,0.1671
금천구,541.7619047619048,89.20151089860391,113770,0.1647
종로구,342.9761904761905,58.818872120056064,72025,0.1715
중구,305.64761904761906,53.09564917025801,64186,0.1737
