origin_region,dest_region,category_name,total_volume,avg_distance_km,avg_delay_rate
송파구,송파구,생활용품,15141,0.0,0.0624
강남구,송파구,생활용품,13934,5.18,0.1046
송파구,송파구,패션/잡화,12770,0.0,0.057
강남구,강남구,생활용품,12490,0.0,0.0513
강남구,송파구,패션/잡화,12176,5.18,0.1005
강서구,송파구,패션/잡화,11752,22.97,0.2489
송파구,송파구,식품/신선,10915,0.0,0.0508
송파구,강남구,생활용품,10635,5.18,0.0965
강남구,강서구,생활용품,10186,17.84,0.1985
강남구,강남구,패션/잡화,9778,0.0,0.0535
송파구,강남구,식품/신선,9693,5.18,0.0929
송파구,강서구,식품/신선,9521,22.97,0.2332
강서구,송파구,생활용품,9273,22.97,0.2494
강서구,송파구,식품/신선,9253,22.97,0.2411
강서구,강서구,생활용품,9079,0.0,0.0487
송파구,강남구,패션/잡화,9074,5.18,0.0883
강남구,강서구,패션/잡화,8620,17.84,0.1944
마포구,송파구,생활용품,8456,18.89,0.2202
송파구,강서구,패션/잡화,8128,22.97,0.2346
송파구,강서구,생활용품,8106,22.97,0.2355
은평구,송파구,생활용품,7928,18.41,0.2133
관악구,송파구,패션/잡화,7719,14.19,0.1713
강동구,강남구,생활용품,7591,6.9,0.1139
관악구,강남구,식품/신선,7564,9.48,0.1343
강서구,강남구,패션/잡화,7542,17.84,0.1971
서초구,강남구,패션/잡화,7497,3.95,0.084
송파구,서초구,생활용품,7453,7.33,0.1022
마포구,송파구,패션/잡화,7451,18.89,0.2187
송파구,서초구,패션/잡화,7445,7.33,0.102
노원구,강남구,생활용품,7416,15.26,0.1796
송파구,관악구,생활용품,7409,14.19,0.1611
강서구,관악구,패션/잡화,7373,12.09,0.1401
강남구,강남구,식품/신선,7347,0.0,0.0409
강서구,강서구,패션/잡화,7284,0.0,0.0437
강서구,강서구,식품/신선,7269,0.0,0.0482
관악구,송파구,식품/신선,7255,14.19,0.166
중랑구,송파구,패션/잡화,7206,10.28,0.1387
마포구,송파구,식품/신선,7181,18.89,0.207
강서구,강남구,생활용품,7167,17.84,0.1974
서초구,송파구,패션/잡화,7127,7.33,0.1124
영등포구,강남구,생활용품,7101,13.36,0.1637
관악구,강서구,패션/잡화,7089,12.09,0.1477
서초구,강남구,생활용품,7077,3.95,0.0839
강남구,송파구,식품/신선,7026,5.18,0.0904
관악구,강남구,패션/잡화,6978,9.48,0.1298
송파구,노원구,생활용품,6954,16.13,0.1735
강남구,관악구,식품/신선,6944,9.48,0.118
송파구,강동구,생활용품,6942,2.35,0.0616
송파구,강동구,패션/잡화,6817,2.35,0.0616
강동구,송파구,생활용품,6789,2.35,0.0724
